A,Z,az_order,exc_keV,spin_parity,isomer_char
66,25,0,,(1+), 
66,25,1,464.5,(5-),m
66,26,0,,0+, 
66,27,0,,(1+), 
66,27,1,175.1,(3+),m
66,28,0,,0+, 
66,29,0,,1+*, 
66,29,1,1154.2,(6)-,m
66,30,0,,0+, 
66,31,0,,0+*, 
66,32,0,,0+, 
66,33,0,,0+      T=1, 
66,33,1,1356.63,5+,m
66,33,2,3023.8,9+,n
66,34,0,,0+, 
67,25,0,,5/2-#, 
67,26,0,,(1/2-), 
67,26,1,403.0,"(5/2+,7/2+)",m
67,26,2,450.0,(9/2+),n
67,27,0,,(7/2-), 
67,27,1,491.55,(1/2-),m
67,28,0,,1/2-, 
67,28,1,1006.6,9/2+,m
67,29,0,,3/2-*, 
67,30,0,,5/2-*, 
67,30,1,93.312,1/2-,m
67,30,2,604.48,9/2+,n
67,31,0,,3/2-*, 
67,32,0,,1/2-, 
67,32,1,18.2,5/2-,m
67,32,2,751.7,9/2+,n
67,33,0,,(5/2-), 
67,34,0,,5/2-#, 
67,36,0,,3/2-#, 
68,25,0,,(3), 
68,26,0,,0+, 
68,27,0,,(7-), 
68,27,1,150.0,(2-),m
68,27,2,195.0,(1),n
68,28,0,,0+, 
68,28,1,1603.51,0+,m
68,28,2,2849.1,5-,n
68,29,0,,1+*, 
68,29,1,721.26,6-*,m
68,30,0,,0+, 
68,31,0,,1+*, 
68,32,0,,0+, 
68,33,0,,3+, 
68,33,1,425.1,1+,m
68,34,0,,0+, 
68,36,0,,0+, 
69,25,0,,5/2-#, 
69,26,0,,1/2-#, 
69,27,0,,(7/2-), 
69,27,1,170.0,1/2-#,m
69,28,0,,(9/2+), 
69,28,1,321.0,(1/2-),m
69,28,2,2700.0,(17/2-),n
69,29,0,,3/2-*, 
69,30,0,,1/2-*, 
69,30,1,438.636,9/2+*,m
69,31,0,,3/2-*, 
69,32,0,,5/2-*, 
69,32,1,86.76,1/2-,m
69,32,2,397.94,9/2+,n
69,33,0,,5/2-*, 
69,34,0,,1/2-, 
69,34,1,38.85,5/2-,m
69,34,2,574.0,9/2+,n
69,36,0,,(5/2-), 
70,25,0,,"(4,5)", 
70,26,0,,0+, 
70,27,0,,(1+), 
70,27,1,200.0,(7-),m
70,28,0,,0+, 
70,28,1,2860.91,8+,m
70,29,0,,6-*, 
70,29,1,101.1,3-*,m
70,29,2,242.6,1+*,n
70,30,0,,0+, 
70,31,0,,1+*, 
70,32,0,,0+, 
70,33,0,,4+*, 
70,33,1,32.046,2+,m
70,34,0,,0+, 
70,35,0,,0+      T=1, 
70,35,1,2292.3,9+      T=0,m
70,36,0,,0+, 
71,26,0,,7/2+#, 
71,27,0,,(7/2-), 
71,28,0,,(9/2+), 
71,28,1,499.0,(1/2-),m
71,29,0,,3/2-*, 
71,29,1,2755.7,(19/2-),m
71,30,0,,1/2-*, 
71,30,1,157.7,9/2+*,m
71,31,0,,3/2-*, 
71,32,0,,1/2-*, 
71,32,1,198.354,9/2+,m
71,33,0,,5/2-*, 
71,34,0,,(5/2-), 
71,34,1,48.79,(1/2-),m
71,34,2,260.48,(9/2+),n
71,35,0,,(5/2)-, 
71,36,0,,(5/2)-, 
72,26,0,,0+, 
72,27,0,,"(6-,7-)", 
72,27,1,200.0,"(0+,1+)",m
72,28,0,,0+, 
72,29,0,,2-*, 
72,29,1,270.3,(6-),m
72,30,0,,0+, 
72,31,0,,3-*, 
72,31,1,119.66,(0+),m
72,32,0,,0+, 
72,32,1,691.43,0+,m
72,33,0,,2-*, 
72,34,0,,0+, 
72,35,0,,1+, 
72,35,1,100.76,(3-),m
72,36,0,,0+, 
72,37,0,,1+#, 
73,26,0,,7/2+#, 
73,27,0,,(7/2-), 
73,28,0,,(9/2+), 
73,29,0,,3/2-*, 
73,30,0,,1/2-*, 
73,30,1,195.5,5/2+*,m
73,31,0,,1/2-*, 
73,32,0,,9/2+*, 
73,32,1,13.2845,5/2+,m
73,32,2,66.725,1/2-,n
73,33,0,,3/2-, 
73,33,1,427.902,9/2+,m
73,34,0,,9/2+*, 
73,34,1,25.71,3/2-,m
73,35,0,,1/2-, 
73,36,0,,(3/2)-, 
73,36,1,433.55,(9/2+),m
73,38,0,,(5/2-), 
74,26,0,,0+, 
74,27,0,,7-#, 
74,28,0,,0+, 
74,29,0,,2-*, 
74,30,0,,0+, 
74,31,0,,(3-)*, 
74,31,1,59.571,(0)(+#),m
74,32,0,,0+, 
74,33,0,,2-, 
74,34,0,,0+, 
74,35,0,,(0-), 
74,35,1,13.58,4+*,m
74,36,0,,0+, 
74,37,0,,0+*     T=1, 
74,38,0,,0+, 
75,27,0,,7/2-#, 
75,28,0,,9/2+#, 
75,29,0,,5/2-*, 
75,29,1,61.7,1/2-,m
75,29,2,66.2,3/2-,n
75,30,0,,7/2+*, 
75,31,0,,3/2-*, 
75,32,0,,1/2-*, 
75,32,1,139.69,7/2+,m
75,32,2,192.19,5/2+,n
75,33,0,,3/2-*, 
75,33,1,303.9243,9/2+,m
75,34,0,,5/2+*, 
75,35,0,,3/2-, 
75,36,0,,5/2+*, 
75,37,0,,3/2-*, 
75,38,0,,(3/2-), 
76,27,0,,(8-), 
76,27,1,100.0,(1-),m
76,27,2,740.0,(3+),n
76,28,0,,0+, 
76,28,1,2418.0,(8+),m
76,29,0,,3-*, 
76,29,1,,"(1,3)",m
76,30,0,,0+, 
76,31,0,,2-*, 
76,32,0,,0+, 
76,33,0,,2-*, 
76,33,1,44.425,(1)+,m
76,34,0,,0+, 
76,35,0,,1-*, 
76,35,1,102.58,(4)+,m
76,36,0,,0+, 
76,37,0,,1-*, 
76,37,1,316.93,(4+),m
76,38,0,,0+, 
76,39,0,,1-#, 
77,27,0,,7/2-#, 
77,28,0,,9/2+#, 
77,29,0,,5/2-*, 
77,30,0,,7/2+*, 
77,30,1,772.44,1/2-*,m
77,31,0,,3/2-*, 
77,32,0,,7/2+, 
77,32,1,159.71,1/2-,m
77,33,0,,3/2-, 
77,33,1,475.48,9/2+,m
77,34,0,,1/2-*, 
77,34,1,161.9223,7/2+,m
77,35,0,,3/2-*, 
77,35,1,105.86,9/2+*,m
77,36,0,,5/2+*, 
77,36,1,66.5,3/2-,m
77,37,0,,3/2-*, 
77,38,0,,5/2+*, 
77,39,0,,5/2+#, 
78,28,0,,0+, 
78,29,0,,(6-)*, 
78,30,0,,0+, 
78,30,1,2673.7,(8+),m
78,31,0,,2-*, 
78,31,1,498.9,,m
78,32,0,,0+, 
78,33,0,,2-, 
78,34,0,,0+, 
78,35,0,,1+*, 
78,35,1,180.89,(4+),m
78,36,0,,0+, 
78,37,0,,0+*, 
78,37,1,46.84,(1-),m
78,37,2,111.19,4-*,n
78,38,0,,0+, 
78,39,0,,(0+), 
78,39,1,0.0,(5+),m
79,28,0,,5/2+#, 
79,29,0,,(5/2-)*, 
79,30,0,,9/2+*, 
79,31,0,,3/2-*, 
79,32,0,,(1/2)-, 
79,32,1,185.95,7/2+#,m
79,33,0,,3/2-, 
79,33,1,772.81,(9/2)+,m
79,34,0,,7/2+*, 
79,34,1,95.77,1/2-,m
79,35,0,,3/2-*, 
79,35,1,207.61,9/2+,m
79,36,0,,1/2-*, 
79,36,1,129.77,7/2+*,m
79,37,0,,5/2+*, 
79,38,0,,3/2-*, 
79,39,0,,5/2+#, 
79,40,0,,5/2+#, 
80,28,0,,0+, 
80,29,0,,, 
80,30,0,,0+, 
80,31,0,,6-*, 
80,31,1,22.45,3-*,m
80,32,0,,0+, 
80,33,0,,1+, 
80,34,0,,0+, 
80,35,0,,1+*, 
80,35,1,85.843,5-*,m
80,36,0,,0+, 
80,37,0,,1+*, 
80,37,1,493.9,(6+),m
80,38,0,,0+, 
80,39,0,,4-, 
80,39,1,228.5,1-,m
80,39,2,312.6,(2+),n
80,40,0,,0+, 
81,29,0,,5/2-#, 
81,30,0,,"(1/2+,5/2+)", 
81,31,0,,5/2-*, 
81,32,0,,9/2+#, 
81,32,1,679.14,(1/2+),m
81,33,0,,3/2-, 
81,34,0,,1/2-, 
81,34,1,103.0,7/2+,m
81,35,0,,3/2-*, 
81,35,1,536.2,9/2+,m
81,36,0,,7/2+*, 
81,36,1,190.64,1/2-*,m
81,37,0,,3/2-*, 
81,37,1,86.31,9/2+*,m
81,38,0,,1/2-*, 
81,38,1,79.23,(5/2)-,m
81,38,2,89.05,(7/2+),n
81,39,0,,(5/2+), 
81,40,0,,(3/2-), 
82,29,0,,, 
82,30,0,,0+, 
82,31,0,,2-*, 
82,31,1,140.7,(4-),m
82,32,0,,0+, 
82,33,0,,(2-), 
82,33,1,131.6,(5-),m
82,34,0,,0+, 
82,35,0,,5-*, 
82,35,1,45.9492,2-,m
82,36,0,,0+, 
82,37,0,,1+*, 
82,37,1,69.0,5-*,m
82,38,0,,0+, 
82,39,0,,1+, 
82,39,1,402.63,4-,m
82,39,2,507.5,6+,n
82,40,0,,0+, 
82,41,0,,(0+), 
82,41,1,1180.0,(5+),m
83,30,0,,3/2+#, 
83,31,0,,5/2-#, 
83,32,0,,(5/2+), 
83,33,0,,5/2-#, 
83,34,0,,9/2+, 
83,34,1,228.92,1/2-,m
83,35,0,,3/2-, 
83,35,1,3069.2,(19/2-),m
83,36,0,,9/2+*, 
83,36,1,9.4053,7/2+,m
83,36,2,41.5575,1/2-*,n
83,37,0,,5/2-*, 
83,37,1,42.078,9/2+,m
83,38,0,,7/2+*, 
83,38,1,259.15,1/2-*,m
83,39,0,,(9/2+), 
83,39,1,62.04,(3/2-),m
83,40,0,,1/2-#, 
83,40,1,52.72,(5/2-),m
83,40,2,77.04,(7/2+),n
83,41,0,,9/2+#, 
83,42,0,,3/2-#, 
84,30,0,,0+, 
84,31,0,,0-#, 
84,32,0,,0+, 
84,33,0,,(2-), 
84,33,1,,,m
84,34,0,,0+, 
84,35,0,,2-, 
84,35,1,310.0,(6)-,m
84,36,0,,0+, 
84,36,1,3236.07,8+,m
84,37,0,,2-*, 
84,37,1,463.59,6-*,m
84,38,0,,0+, 
84,39,0,,(6+), 
84,39,1,67.0,1+,m
84,39,2,210.42,(4-),n
84,40,0,,0+, 
84,41,0,,(1+), 
84,41,1,48.0,(3+),m
84,41,2,337.7,(5-),n
84,42,0,,0+, 
85,31,0,,(5/2-), 
85,32,0,,"(3/2+,5/2+)#", 
85,33,0,,(5/2-), 
85,34,0,,(5/2)+, 
85,35,0,,3/2-, 
85,36,0,,9/2+*, 
85,36,1,304.871,1/2-*,m
85,36,2,1991.8,(17/2+),n
85,37,0,,5/2-*, 
85,37,1,514.0065,9/2+,m
85,38,0,,9/2+*, 
