A,Z,N,element,species,clean_species,is_platypus,az_order,parity,epsilon,log_hl,exc_keV,transition_energy_keV,correct_deltaJ,correct_lambda,Q_keV,V_coulomb_keV,tracking_bin
270,107,163,Bh,alpha,alpha,False,0,oo,3.331309037436185,2.357934847000454,,0.0,,,9065.084,31426.82012204877,tracked
270,108,162,Hs,alpha,alpha,False,0,ee,4.331309037436185,0.9542425094393248,,0.0,,,9070.084,31726.123170830186,tracked
270,109,161,Mt,alpha,alpha,False,0,oo,5.331309037436185,-0.0969100130080563,,0.0,,,10180.084,32025.426219611603,tracked
270,110,160,Ds,alpha,alpha,False,0,ee,6.331309037436185,-3.688246138944246,,0.0,,,11116.993,32324.72926839302,tracked
270,110,160,Ds,alpha,alpha_iso,False,1,ee,6.331309037436185,-2.3665315444204134,1390.0,,,,12506.993,32324.72926839302,tracked
271,106,165,Sg,alpha,alpha,False,0,eo,1.987523233689842,2.12057393120585,,0.0,,,8748.083999999999,31096.30258601201,tracked
271,107,164,Bh,alpha,alpha,False,0,eo,2.987523233689842,0.4623979978989561,,0.0,,,9420.084,31395.3054954929,tracked
271,110,161,Ds,SF,SF,False,0,eo,5.987523233689842,-0.8416375079047503,,0.0,,,,,tracked
271,110,161,Ds,alpha,alpha_iso,False,1,eo,5.987523233689842,-2.769551078621726,68.0,,,,10937.084,32292.314223935555,tracked
272,107,165,Bh,alpha,alpha,False,0,oo,2.643858048631828,1.0530784434834195,,0.0,,,9302.084,31363.932365431003,tracked
272,111,161,Rg,alpha,alpha,False,0,oo,6.643858048631827,-2.3767507096021,,0.0,,,11197.084,32558.74883649504,tracked
273,108,165,Hs,alpha,alpha,False,0,eo,3.300312891353556,0.0253058652647702,,0.0,,,9650.084,31631.106250226985,tracked
273,110,163,Ds,alpha,alpha,False,0,eo,5.300312891353556,-3.619788758288575,,0.0,,,11367.084,32227.919575702963,tracked
273,110,163,Ds,alpha,alpha_iso,False,1,eo,5.300312891353556,-0.9208187539523752,198.0,,,,11565.084,32227.919575702963,tracked
274,107,167,Bh,alpha,alpha,False,0,oo,1.956887175993841,1.7558748556724917,,0.0,,,8940.083999999999,31301.606030677496,tracked
274,109,165,Mt,alpha,alpha,False,0,oo,3.9568871759938418,-0.0705810742857072,,0.0,,,10594.084,31897.827097928493,tracked
274,111,163,Rg,alpha,alpha,False,0,oo,5.956887175993842,-1.6989700043360187,,0.0,,,11478.084,32494.048165179494,tracked
275,108,167,Hs,alpha,alpha,False,0,eo,2.6135803216776736,-0.5528419686577808,,0.0,,,9450.084,31568.466296969767,tracked
275,109,166,Mt,alpha,alpha,False,0,eo,3.6135803216776736,-1.5086383061657274,,0.0,,,10483.084,31866.2820167525,tracked
276,109,167,Mt,alpha,alpha,False,0,oo,3.270391752455652,-0.1549019599857431,,0.0,,,10100.084,31834.876543562197,tracked
276,109,167,Mt,alpha,alpha_iso,False,1,oo,3.270391752455652,0.8450980400142568,250.0,,,,10350.084,31834.876543562197,tracked
277,108,169,Hs,SF,SF,False,0,eo,1.9273208972445983,-1.9208187539523751,,0.0,,,,,tracked
277,108,169,Hs,SF,SF_iso,False,1,eo,1.9273208972445983,2.113943352306837,100.0,,,,,,tracked
277,109,168,Mt,SF,SF,False,0,eo,2.9273208972445985,0.9542425094393248,,0.0,,,,,tracked
277,110,167,Ds,alpha,alpha,False,0,eo,3.927320897244599,-2.221848749616356,,0.0,,,10900.084,32100.839561447578,tracked
