snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate
1295305,83,5.588662083299576,2.026690817290214,46.713832147262266,4.2534001531248435,56870.49365185549,0.1,1.5,223.54648333198304,True,True,True,True,True
1810037,104,3.960593751432811,2.356810606795624,45.3582727641025,3.421952602575928,57952.66786089812,0.1,1.5,200.00998444735694,True,True,True,True,True
1258094,104,4.480156377051501,5.09646761476099,41.354896788962456,1.5400208002890672,56484.283,0.1,1.5,226.24789704110083,True,True,True,True,True
1317164,99,8.12459272181919,2.0116317865517352,42.52408447492254,3.137258027565757,57263.90113107686,0.1,1.5,389.98045064732105,True,True,True,True,True
1870078,109,10.722425778941982,3.231106041482149,40.49481230970579,2.0882097891348153,57980.56343543905,0.1,1.5,568.2885662839251,True,False,True,True,False
1252936,82,3.619939309834822,2.3995506148522416,46.44357067440186,3.5190366433147418,56514.102787687574,0.1,1.5,142.98760273847546,True,True,True,True,True
1326489,114,3.555225019525591,2.156214990292811,44.609399454921906,3.38102801094238,57003.33396230726,0.1,1.5,197.3149885836703,True,True,True,True,True
1306129,27,3.8627198895909323,0.5307860119326848,39.975654549075955,0.8332713508264646,57013.43805928498,0.1,1.5,46.352638675091185,True,True,True,True,True
1342628,70,3.0438500561283703,1.4384248439126834,45.2435241614603,2.778734849062289,57364.77014797102,0.1,1.5,101.9689768803004,True,True,True,True,True
1389242,33,21.320068278640754,0.9998789435972226,42.2750538305516,0.005188131547598118,57784.01586788103,0.1,1.5,319.8010241796113,True,False,True,True,False
1291766,146,6.088921343897298,5.594921421032006,48.83149958609948,5.187607953032007,56827.179,0.1,1.5,435.35787608865684,True,True,True,True,True
1598039,114,7.831984641345839,0.3,43.24503978973085,1.024320656641187,58022.62000262373,0.1,1.5,434.67514759469407,True,True,True,True,True
1949118,55,4.326493485138986,1.6273508433411576,46.03417458558138,3.3806106652020063,58068.22172525404,0.1,1.5,112.48883061361363,True,True,True,True,True
1334707,107,9.733184704478097,1.7311657553933146,45.18418402327969,2.7276148271790888,57340.32742061316,0.1,1.5,506.12560463286104,True,True,True,True,True
1280819,97,5.719500276679696,2.518512619435278,41.790852653905596,1.795837242059978,57206.20727309435,0.1,1.5,268.8165130039457,True,True,True,True,True
1289794,107,3.881501306030668,1.8799118899264844,45.04905831332091,3.4092252385962354,57231.20211463113,0.1,1.5,201.83806791359473,True,True,True,True,True
1301710,77,5.835283094094831,0.5000651274457437,43.43505137787077,2.997835610331691,56981.73721392613,0.1,1.5,215.90547448150875,True,True,True,True,True
1247490,102,4.350067962863916,6.333687246963792,50.85054747249496,5.432758861783235,56484.204,0.1,1.5,215.32836416176383,True,True,True,True,True
1246676,60,21.109759616717657,6.044308568145642,53.063181946450506,7.493592278376518,56486.205,0.1,1.5,601.6281490764533,True,False,True,True,False
1281133,110,7.6494576286232805,9.551120525920739,48.5955280180273,4.533357674044609,57202.289,0.1,1.5,409.2459831313455,True,True,False,True,False
1310338,95,5.473756000095592,1.716749452653038,45.84418649256987,4.115602659424269,56946.55685449297,0.1,1.5,251.7927760043972,True,True,True,True,True
1251449,89,6.3639549987288815,4.9512678742219265,52.15678883493386,6.785771969254384,56540.297,0.1,1.5,273.6500649453419,True,True,True,True,True
1392129,59,3.4622565147803366,0.3,6.312507078750237,-30.0,57565.414,0.1,1.5,96.94318241384943,True,True,True,True,True
1259585,94,4.241795696169648,2.332138645006414,46.272995513182714,4.009383179703711,56564.5583059489,0.1,1.5,193.001704175719,True,True,True,True,True
1344720,78,4.016294636538995,4.194839479745524,54.465940532377026,9.088546030016502,57362.6425728563,0.1,1.5,150.6110488702123,True,True,True,True,True
1848053,105,4.444801221852679,4.040827820916826,43.43691352081742,2.5909850264421976,57938.805268694705,0.1,1.5,226.68486231448665,True,True,True,True,True
1332280,70,5.818860066782214,6.875267023571581,51.92970053714483,6.008539701544748,57199.293,0.1,1.5,194.93181223720418,True,True,True,True,True
1293050,61,23.49624172081103,1.0013628230178746,44.03828318092176,0.004542743392914161,56896.28361100683,0.1,1.5,681.39100990352,True,False,True,True,False
1308884,99,33.70300971229461,10.0,70.16083073469802,29.998861385312345,57467.44037194552,0.1,1.5,1617.7444661901413,True,False,False,True,False
1336819,104,4.53119941142353,2.3190008265961324,43.482561723957964,2.667842946035613,57298.155818244115,0.1,1.5,228.82557027688824,True,True,True,True,True
1604029,126,3.529932822353216,10.0,8.216399596365925,-30.0,57651.225,0.1,1.5,217.09086857472278,True,True,False,True,False
1253046,113,4.598170412805083,2.4030010257700503,46.149957538378054,4.133896824837308,56526.39127989103,0.1,1.5,252.89937270427959,True,True,True,True,True
1319711,93,6.139372814969181,2.4014433547614424,44.390685068658726,3.966770665439469,56970.26927785981,0.1,1.5,276.27177667361315,True,True,True,True,True
1253024,111,4.104443151335924,2.1578242189372596,43.995577269764304,2.688366949638066,56525.68846631322,0.1,1.5,221.63993017213988,True,True,True,True,True
1252620,82,4.574764306018719,1.2329143614463158,47.446062417073506,4.042093754113921,56525.65641920933,0.1,1.5,180.7031900877394,True,True,True,True,True
1298340,96,5.96376980353797,4.099583116631967,42.66525483477268,2.7516097427586175,56852.017427537845,0.1,1.5,277.3152958645156,True,True,True,True,True
1258433,56,6.843405136712504,1.4308055167817977,45.64218976170655,3.25749307835806,56596.13513337779,0.1,1.5,181.35023612288137,True,True,True,True,True
