Z,N,A,element,is_estimated,mass_excess_keV,mass_excess_unc_keV,mass_excess_MeV,mass_excess_unc_MeV,E_exp_MeV,E_exp_unc_MeV,BE_per_A_MeV
15,18,33,P,False,-26337.35,1.09,-26.337349999999997,0.00109,30712.96802986,0.00109,8.5138073
16,17,33,S,False,-26585.8583,0.00134,-26.585858299999998,1.34e-06,30712.71952156,1.34e-06,8.4976304
17,16,33,Cl,False,-21003.34,0.391,-21.00334,0.000391,30718.302039860002,0.000391,8.3047557
18,15,33,Ar,False,-9384.295,0.401,-9.384295,0.00040100000000000004,30729.92108486,0.00040100000000000004,7.9289559
19,14,33,K,True,7540.0,200.0,7.54,0.2,30746.845379860002,0.2,7.392
20,13,33,Ca,True,31030.0,400.0,31.03,0.4,30770.33537986,0.4,6.657
10,24,34,Ne,True,52842.0,513.0,52.842,0.513,31723.64148228,0.513,6.287
11,23,34,Na,False,31680.114,599.416,31.680114,0.5994160000000001,31702.479596279998,0.5994160000000001,6.8864377
12,22,34,Mg,False,8323.324,6.893,8.323324000000001,0.006893,31679.12280628,0.006893,7.550391899999999
13,21,34,Al,False,-2997.619,2.105,-2.9976190000000003,0.002105,31667.801863279998,0.002105,7.860350599999999
14,20,34,Si,False,-19991.684,0.801,-19.991684,0.0008010000000000001,31650.80779828,0.0008010000000000001,8.3371659
15,19,34,P,False,-24548.702,0.81,-24.548702000000002,0.0008100000000000001,31646.25078028,0.0008100000000000001,8.4481856
16,18,34,S,False,-29931.689,0.045,-29.931689,4.4999999999999996e-05,31640.86779328,4.4999999999999996e-05,8.5834986
17,17,34,Cl,False,-24440.086,0.049,-24.440086,4.9000000000000005e-05,31646.35939628,4.9000000000000005e-05,8.3989706
18,16,34,Ar,False,-18378.293,0.078,-18.378293000000003,7.8e-05,31652.421189279998,7.8e-05,8.1976724
19,15,34,K,True,-1220.0,196.0,-1.22,0.196,31669.579482279998,0.196,7.67
20,14,34,Ca,True,14890.0,300.0,14.89,0.3,31685.68948228,0.3,7.173
11,24,35,Na,True,37831.0,670.0,37.831,0.67,32640.1245847,0.67,6.745
12,23,35,Mg,False,15639.786,269.668,15.639786,0.269668,32617.9333707,0.269668,7.3562338
13,22,35,Al,False,-223.73,7.359,-0.22372999999999998,0.007359,32602.0698547,0.007359,7.7871243
14,21,35,Si 2,False,-14391.48,35.857,-14.39148,0.035857,32587.902104700002,0.035857,8.1695644
15,20,35,P,False,-24857.809,1.866,-24.857809,0.001866,32577.4357757,0.001866,8.4462496
16,19,35,S,False,-28846.21,0.04,-28.84621,4e-05,32573.4473747,4e-05,8.5378511
17,18,35,Cl,False,-29013.532,0.035,-29.013531999999998,3.5000000000000004e-05,32573.2800527,3.5000000000000004e-05,8.520279
18,17,35,Ar,False,-23047.289,0.68,-23.047289,0.00068,32579.246295700003,0.00068,8.3274621
19,16,35,K,False,-11172.893,0.512,-11.172893,0.000512,32591.1206917,0.000512,7.9658409
20,15,35,Ca,True,5190.0,200.0,5.19,0.2,32607.4835847,0.2,7.476
21,14,35,Sc,True,27100.0,400.0,27.1,0.4,32629.3935847,0.4,6.828
11,25,36,Na,True,45903.0,687.0,45.903,0.687,33579.69068712,0.687,6.557
12,24,36,Mg,False,20380.159,690.237,20.380159,0.690237,33554.16784612,0.690237,7.2444201999999995
13,23,36,Al,False,5950.384,149.505,5.950384,0.149505,33539.73807112,0.149505,7.6235154000000005
14,22,36,Si,False,-12436.125,71.797,-12.436125,0.071797,33521.35156212,0.071797,8.1125199
15,21,36,P,False,-20251.045,13.114,-20.251044999999998,0.013114,33513.53664212,0.013114,8.307869199999999
16,20,36,S,False,-30664.141,0.188,-30.664141,0.000188,33503.12354612,0.000188,8.575389999999999
17,19,36,Cl,False,-29522.008,0.036,-29.522008000000003,3.5999999999999994e-05,33504.26567912,3.5999999999999994e-05,8.521932199999998
18,18,36,Ar,False,-30231.542,0.027,-30.231542,2.7e-05,33503.55614512,2.7e-05,8.5199096
19,17,36,K,False,-17417.182,0.325,-17.417182,0.000325,33516.37050512,0.000325,8.1422233
20,16,36,Ca,False,-6451.166,40.0,-6.451166,0.04,33527.33652112,0.04,7.8158799
