z,residual_mag,err_mag
8.568945899999999560e-02,-6.855374682712067624e-02,1.499999999999999944e-01
2.605861079999999830e-01,-1.158475752806467085e-01,1.499999999999999944e-01
2.155433210000000099e-01,1.076989111962376455e-01,1.499999999999999944e-01
1.176253290000000007e-01,-2.053851620157089997e-01,1.499999999999999944e-01
1.822182400000000035e-01,-2.010275476346379264e-01,1.499999999999999944e-01
3.575073570000000256e-01,-7.367256331991001161e-02,1.499999999999999944e-01
1.417879989999999979e-01,6.056315202287265720e-02,1.499999999999999944e-01
2.605334770000000133e-01,1.696010886687204788e-01,1.499999999999999944e-01
2.327811069999999871e-01,-1.661410728758383470e-01,1.499999999999999944e-01
1.518578949999999927e-01,-2.157653090268141227e-01,1.499999999999999944e-01
9.390863200000000577e-02,-1.001084465896440179e-01,1.499999999999999944e-01
2.866187069999999726e-01,1.713261780368782183e-01,1.499999999999999944e-01
1.943165119999999968e-01,1.634753361409480021e-02,1.499999999999999944e-01
1.470251379999999997e-01,6.718190633399956369e-03,1.499999999999999944e-01
2.115869820000000068e-01,4.151468015785582111e-01,1.499999999999999944e-01
1.801197800000000071e-01,-1.292410779843820023e-01,1.499999999999999944e-01
2.634910269999999888e-01,1.018322361162304901e-01,1.499999999999999944e-01
1.921499799999999980e-01,1.203055238885823996e-01,1.499999999999999944e-01
3.388026089999999768e-01,3.386634811822375468e-02,1.499999999999999944e-01
1.172773629999999956e-01,-3.210472340344949771e-02,1.499999999999999944e-01
1.424046519999999927e-01,-1.067676893602396149e-01,1.499999999999999944e-01
1.608618549999999980e-01,-1.857057426798363053e-01,1.499999999999999944e-01
2.884183450000000204e-01,-3.934159516067836648e-02,1.499999999999999944e-01
1.228289000000000047e-01,-8.396048766763897220e-02,1.499999999999999944e-01
2.636479509999999915e-01,-1.187371412604463217e-01,1.499999999999999944e-01
1.264731620000000001e-01,-2.402193808514994089e-01,1.499999999999999944e-01
1.727422309999999961e-01,-1.674437095837078004e-01,1.499999999999999944e-01
1.637958949999999969e-01,-1.522402918113527903e-01,1.499999999999999944e-01
2.495110550000000094e-01,2.454350108063181324e-01,1.499999999999999944e-01
2.577403039999999756e-01,3.866744347356387834e-02,1.499999999999999944e-01
1.067123400000000027e-01,7.375926321643078154e-02,1.499999999999999944e-01
1.598899380000000092e-01,-1.402505472018589217e-01,1.499999999999999944e-01
2.049796849999999948e-01,-4.603596679341848130e-02,1.499999999999999944e-01
2.443788769999999944e-01,-2.841238448379144188e-01,1.499999999999999944e-01
2.485081309999999932e-01,-2.537291542280470935e-01,1.499999999999999944e-01
2.285284740000000092e-01,-7.257730384994687256e-02,1.499999999999999944e-01
8.585464399999999385e-02,-1.178679052375386505e-01,1.499999999999999944e-01
6.183576500000000087e-02,-2.026995168309255746e-01,1.499999999999999944e-01
2.778534229999999883e-01,4.548573210804107703e-02,1.499999999999999944e-01
2.754401969999999977e-01,-2.821987138430870345e-02,1.499999999999999944e-01
1.552473279999999900e-01,-1.052813010206463673e-01,1.499999999999999944e-01
3.305124489999999859e-01,1.664809038067005531e-02,1.499999999999999944e-01
3.619343090000000096e-01,-4.813663466939033242e-02,1.499999999999999944e-01
3.306346279999999860e-01,-1.599285470708409207e-01,1.499999999999999944e-01
1.446210860000000098e-01,3.199019646114464877e-02,1.499999999999999944e-01
3.892887879999999967e-01,-8.617759511224676316e-03,1.499999999999999944e-01
1.739100570000000068e-01,-1.541214753863116016e-01,1.499999999999999944e-01
3.003126959999999901e-01,-1.325815211544707495e-01,1.499999999999999944e-01
1.163485030000000059e-01,-1.374702187010257148e-02,1.499999999999999944e-01
2.185851890000000131e-01,-2.278870332843041524e-02,1.499999999999999944e-01
1.196715379999999940e-01,-6.866456177287005858e-02,1.499999999999999944e-01
1.546320969999999961e-01,-8.946455165641253870e-02,1.499999999999999944e-01
4.083190919999999946e-01,1.114616932734691090e-01,1.499999999999999944e-01
1.776006950000000029e-01,3.356972984230637280e-01,1.499999999999999944e-01
2.506676310000000019e-01,1.991042123769943828e-01,1.499999999999999944e-01
2.517401859999999769e-01,-1.494449725434066067e-02,1.499999999999999944e-01
3.915992130000000015e-01,-1.170738382772853470e-01,1.499999999999999944e-01
1.287267350000000088e-01,-1.269416238425122856e-01,1.499999999999999944e-01
3.996013350000000020e-01,5.319354245758489697e-02,1.499999999999999944e-01
3.094926450000000107e-01,-3.392021045871729257e-02,1.499999999999999944e-01
1.706283969999999872e-01,-1.668365917394325493e-01,1.499999999999999944e-01
2.789246759999999825e-01,-3.392148820385898489e-02,1.499999999999999944e-01
3.085808660000000092e-01,-1.373619314948868464e-01,1.499999999999999944e-01
1.858124469999999917e-01,-1.636671524070010264e-02,1.499999999999999944e-01
6.644031200000000137e-02,-1.221979123626013575e-01,1.499999999999999944e-01
3.164298449999999874e-01,2.893485386103265000e-01,1.499999999999999944e-01
2.574978880000000081e-01,-1.640174507977576468e-02,1.499999999999999944e-01
2.987774440000000031e-01,6.228440945728408451e-02,1.499999999999999944e-01
2.704344430000000243e-01,-5.870320515194293876e-02,1.499999999999999944e-01
2.794547330000000107e-01,-3.050210008697149533e-01,1.499999999999999944e-01
2.924697560000000252e-01,3.367265046620104840e-03,1.499999999999999944e-01
1.888531750000000120e-01,-8.637525328271067337e-02,1.499999999999999944e-01
2.657624800000000231e-01,-1.878535441535404971e-01,1.499999999999999944e-01
1.242735289999999937e-01,-1.905225404348840357e-01,1.499999999999999944e-01
1.825489130000000071e-01,-1.505701558752292613e-02,1.499999999999999944e-01
3.128833639999999972e-01,-6.400567525553668702e-02,1.499999999999999944e-01
3.095473369999999780e-01,1.400170314831612473e-01,1.499999999999999944e-01
8.901942899999999714e-02,-3.235798559625990833e-01,1.499999999999999944e-01
4.024596189999999907e-01,2.179722955424168163e-01,1.499999999999999944e-01
2.006117199999999934e-01,-1.675501814471971329e-01,1.499999999999999944e-01
3.263964830000000150e-01,-2.085700411629716200e-01,1.499999999999999944e-01
2.116295980000000021e-01,-1.655464210992150242e-01,1.499999999999999944e-01
1.796856410000000071e-01,-4.123017383790283930e-02,1.499999999999999944e-01
9.314940300000000561e-02,2.635455154182153592e-02,1.499999999999999944e-01
3.024016210000000093e-01,3.705188905787082376e-02,1.499999999999999944e-01
1.086382659999999972e-01,4.689604266037861180e-02,1.499999999999999944e-01
8.569611700000000221e-02,-7.235072891856475508e-02,1.499999999999999944e-01
