# redshift distance_modulus sigma_mu
0.374000 43.18511468 0.118287
0.180000 40.18951732 0.122671
0.550000 44.34346754 0.137765
0.592000 44.15235483 0.103371
0.172000 39.30222601 0.170654
0.526000 41.95608086 0.098131
0.763000 44.47242459 0.113674
0.580000 43.30512501 0.152049
0.430000 41.80193610 0.141213
0.450000 42.27097318 0.137331
0.656000 43.14485911 0.140035
0.495000 42.11890815 0.122226
0.490000 41.78743494 0.100497
0.570000 42.67146671 0.125208
0.388000 42.20761404 0.105095
0.450000 42.40244773 0.145902
0.480000 42.15994859 0.118777
0.615000 42.54263661 0.103425
0.400000 42.31276716 0.113836
0.655000 42.31508525 0.134662
0.498000 42.98372024 0.108739
0.465000 41.82516330 0.102131
0.453000 42.82120848 0.128071
0.425000 41.20213122 0.127838
0.514000 42.78619362 0.110279
0.423000 41.56552588 0.110370
0.859000 44.09290260 0.157841
0.936000 43.30710586 0.107868
0.528000 42.45434957 0.088283
0.978000 43.50007216 0.130634
0.885000 44.18433331 0.144685
0.815000 44.07440160 0.159795
0.698000 43.76872869 0.161848
0.568000 42.70924962 0.144467
0.711000 43.56654956 0.145206
0.339600 41.08397338 0.120734
0.396500 41.48792079 0.097240
0.812000 43.65357328 0.149861
0.799000 43.37882940 0.141648
0.882000 43.37503893 0.160853
0.833000 43.68809785 0.125674
0.874000 43.29537924 0.166691
0.772000 43.50999383 0.196208
0.178000 39.45479082 0.117712
0.260000 40.82336577 0.130400
0.186000 39.71216793 0.136973
0.269000 40.77616173 0.111062
0.215000 40.37805767 0.125880
0.543000 42.47880585 0.123343
0.750000 43.24299869 0.153015
0.640000 42.76424727 0.104993
0.430000 42.18412421 0.122508
0.640000 43.16438069 0.136563
0.497000 42.32455309 0.158112
0.440000 42.01064753 0.145406
0.355000 41.34231158 0.173544
0.780000 43.60080717 0.127160
0.540000 42.42462127 0.144459
0.860000 43.92166067 0.156382
0.468000 42.54890374 0.175805
0.840000 43.87310319 0.126298
0.960000 43.61321161 0.126669
0.821800 43.81536396 0.132453
0.930000 43.55242958 0.087292
0.451000 41.79667441 0.109261
0.610000 42.90496571 0.105017
0.830000 44.05065993 0.155091
0.707000 43.28242562 0.160254
0.415000 41.87677046 0.167477
0.557000 42.55701120 0.146606
0.791000 43.57688112 0.132937
0.695000 43.21170426 0.102482
0.633000 43.04986353 0.136313
0.248600 40.61118534 0.088787
0.532000 42.56581566 0.167935
0.331000 41.07847005 0.149710
0.346000 41.36462686 0.109864
0.961000 44.26420162 0.100088
0.613000 42.99372466 0.157388
0.340200 41.32809153 0.118423
0.983000 44.15728437 0.190436
0.710000 43.02203881 0.102169
0.730000 43.27699552 0.132045
