A,Q,Stable
35,13,0
35,14,0
35,15,0
35,16,0
35,16,0
35,17,1
35,17,0
35,18,0
35,18,0
35,19,0
35,19,0
35,20,0
35,21,0
36,11,0
36,12,0
36,13,0
36,14,0
36,15,0
36,16,1
36,17,0
36,17,0
36,18,1
36,18,0
36,18,0
36,19,0
36,19,0
36,20,0
36,21,0
37,11,0
37,12,0
37,13,0
37,14,0
37,15,0
37,16,0
37,17,1
37,17,0
37,18,0
37,18,0
37,19,0
37,19,0
37,20,0
37,21,0
37,22,0
38,11,0
38,12,0
38,13,0
38,14,0
38,15,0
38,16,0
38,17,0
38,17,0
38,17,0
38,18,1
38,18,0
38,18,0
38,19,0
38,19,0
38,19,0
38,20,0
38,21,0
38,21,0
38,22,0
39,11,0
39,12,0
39,13,0
39,14,0
39,15,0
39,16,0
39,17,0
39,18,0
39,18,0
39,19,1
39,19,0
39,20,0
39,20,0
39,21,0
39,21,0
39,22,0
39,23,0
40,12,0
40,13,0
40,14,0
40,15,0
40,16,0
40,17,0
40,18,1
40,19,0
40,19,0
40,19,0
40,20,1
40,20,0
40,20,0
40,21,0
40,21,0
40,22,0
40,23,0
41,12,0
41,13,0
41,14,0
41,15,0
41,16,0
41,17,0
41,18,0
41,19,1
41,19,0
41,20,0
41,20,0
41,21,0
41,21,0
41,21,0
41,22,0
41,23,0
41,24,0
42,13,0
42,14,0
42,15,0
42,16,0
42,17,0
42,18,0
42,19,0
42,19,0
42,20,1
42,20,0
42,21,0
42,21,0
42,21,0
42,22,0
42,23,0
42,24,0
43,13,0
43,14,0
43,15,0
43,16,0
43,16,0
43,17,0
43,18,0
43,19,0
43,19,0
43,20,1
43,20,0
43,21,0
43,21,0
43,21,0
43,21,0
43,22,0
43,22,0
43,22,0
43,22,0
43,23,0
43,23,0
43,24,0
43,25,0
44,14,0
44,15,0
44,16,0
44,16,0
44,17,0
44,18,0
44,19,0
44,20,1
44,20,0
44,21,0
44,21,0
44,21,0
44,21,0
44,21,0
44,22,0
44,22,0
44,22,0
44,23,0
44,23,0
44,23,0
44,23,0
44,24,0
44,25,0
45,14,0
45,15,0
45,16,0
45,17,0
45,18,0
45,19,0
45,20,0
45,21,1
45,21,0
45,21,0
45,22,0
45,22,0
45,22,0
45,23,0
45,23,0
45,23,0
45,24,0
45,24,0
45,25,0
45,26,0
46,15,0
46,16,0
46,17,0
46,18,0
46,19,0
46,20,1
46,21,0
46,21,0
46,21,0
46,21,0
46,22,1
46,22,0
46,22,0
46,23,0
46,23,0
46,24,0
46,24,0
46,25,0
46,25,0
46,25,0
46,26,0
47,15,0
47,16,0
47,17,0
47,18,0
47,19,0
47,20,0
47,21,0
47,21,0
47,22,1
47,22,0
47,23,0
47,23,0
47,24,0
47,24,0
47,25,0
47,25,0
47,26,0
47,26,0
47,27,0
48,16,0
48,17,0
48,18,0
48,19,0
48,20,0
48,21,0
48,22,1
48,22,0
48,23,0
48,23,0
48,24,0
48,24,0
48,24,0
48,25,0
48,25,0
48,26,0
48,27,0
48,28,0
49,16,0
49,17,0
49,18,0
49,19,0
49,20,0
49,21,0
49,22,1
49,23,0
49,23,0
49,24,0
49,24,0
49,25,0
49,25,0
49,26,0
49,27,0
49,28,0
50,17,0
50,18,0
50,19,0
50,19,0
50,20,0
50,21,0
50,21,0
50,22,1
50,23,0
50,23,0
50,24,1
50,24,0
50,24,0
50,25,0
50,25,0
50,26,0
50,26,0
50,27,0
50,27,0
50,28,0
51,17,0
51,18,0
51,19,0
51,20,0
51,21,0
51,22,0
51,23,1
51,24,0
51,24,0
51,25,0
51,25,0
51,26,0
51,27,0
51,27,0
51,28,0
52,17,0
52,18,0
52,19,0
52,20,0
52,21,0
52,22,0
52,23,0
52,24,1
52,24,0
52,25,0
52,25,0
52,25,0
52,26,0
52,26,0
52,26,0
52,26,0
52,27,0
52,27,0
52,27,0
52,28,0
52,29,0
53,18,0
53,19,0
53,20,0
53,21,0
53,22,0
53,23,0
53,24,1
53,25,0
53,25,0
53,26,0
53,26,0
53,26,0
53,27,0
53,27,0
53,27,0
53,28,0
53,29,0
54,18,0
54,19,0
54,20,0
54,21,0
54,21,0
54,22,0
54,23,0
54,23,0
54,24,1
54,25,0
54,25,0
54,26,1
54,26,0
54,26,0
54,27,0
54,27,0
54,28,0
54,28,0
54,29,0
54,30,0
55,19,0
55,20,0
55,21,0
55,22,0
55,23,0
55,24,0
55,25,1
55,26,0
55,26,0
55,27,0
55,27,0
55,28,0
55,28,0
55,29,0
55,30,0
56,19,0
56,20,0
56,21,0
56,21,0
56,21,0
56,22,0
56,23,0
56,24,0
56,25,0
56,26,1
56,26,0
56,27,0
56,27,0
56,28,0
56,28,0
56,28,0
56,28,0
56,29,0
56,29,0
56,30,0
56,30,0
56,31,0
57,19,0
57,20,0
57,21,0
57,22,0
57,23,0
57,24,0
57,25,0
57,26,1
57,27,0
57,27,0
57,28,0
57,28,0
57,29,0
57,29,0
57,30,0
57,31,0
58,19,0
58,20,0
58,21,0
58,21,0
58,22,0
58,23,0
58,24,0
58,25,0
58,25,0
58,26,1
58,27,0
58,27,0
58,27,0
58,27,0
58,28,1
58,28,0
58,28,0
58,29,0
58,29,0
58,30,0
58,31,0
58,31,0
58,32,0
59,19,0
59,20,0
59,21,0
59,22,0
59,22,0
59,23,0
59,24,0
59,24,0
59,25,0
59,26,0
59,27,1
59,28,0
59,28,0
59,29,0
59,29,0
59,30,0
59,31,0
59,32,0
60,20,0
60,21,0
60,22,0
60,23,0
60,23,0
60,23,0
60,24,0
60,25,0
60,25,0
60,26,0
60,27,0
60,27,0
60,28,1
60,28,0
60,29,0
60,29,0
60,30,0
60,30,0
60,30,0
60,31,0
60,31,0
60,32,0
60,33,0
60,33,0
61,20,0
61,21,0
61,22,0
61,22,0
61,22,0
61,23,0
61,24,0
61,25,0
61,26,0
61,26,0
61,27,0
61,28,1
61,29,0
61,29,0
61,30,0
61,30,0
61,30,0
61,31,0
61,31,0
61,31,0
61,32,0
61,33,0
62,21,0
62,22,0
62,23,0
62,24,0
62,25,0
62,25,0
62,26,0
62,27,0
62,27,0
62,28,1
62,29,0
62,29,0
62,30,0
62,31,0
62,31,0
62,32,0
62,33,0
63,21,0
63,22,0
63,23,0
63,24,0
63,25,0
63,26,0
63,27,0
63,28,0
63,28,0
63,29,1
63,30,0
63,30,0
63,31,0
63,32,0
63,33,0
63,34,0
64,22,0
64,23,0
64,23,0
64,24,0
64,25,0
64,25,0
64,26,0
64,27,0
64,27,0
64,28,1
64,29,0
64,29,0
64,30,1
64,31,0
64,31,0
64,31,0
64,32,0
64,33,0
64,34,0
65,22,0
65,23,0
65,24,0
65,25,0
65,26,0
65,26,0
65,26,0
65,27,0
65,28,0
65,28,0
65,29,1
65,30,0
65,30,0
65,31,0
65,32,0
65,33,0
65,33,0
65,34,0
65,35,0
66,23,0
66,24,0
66,25,0
66,25,0
66,26,0
66,27,0
66,27,0
66,27,0
66,28,0
66,29,0
66,29,0
66,30,1
66,31,0
66,31,0
66,32,0
66,33,0
66,33,0
66,33,0
66,34,0
66,35,0
67,23,0
67,24,0
67,25,0
67,26,0
67,26,0
67,26,0
67,27,0
67,27,0
67,28,0
67,28,0
67,29,0
67,30,1
67,30,0
67,30,0
67,31,0
67,32,0
67,32,0
67,32,0
67,33,0
67,34,0
67,35,0
67,36,0
68,24,0
68,25,0
68,26,0
68,27,0
68,27,0
68,27,0
68,28,0
68,28,0
68,28,0
68,29,0
68,29,0
68,30,1
68,31,0
68,32,0
68,33,0
68,33,0
68,34,0
68,35,0
68,36,0
69,24,0
69,25,0
69,26,0
69,27,0
69,27,0
69,28,0
69,28,0
69,28,0
69,29,0
69,29,0
69,30,0
69,30,0
69,31,1
69,32,0
69,32,0
69,32,0
69,33,0
69,34,0
69,34,0
69,34,0
69,35,0
69,35,0
69,35,0
69,35,0
69,36,0
70,24,0
70,25,0
70,26,0
70,27,0
70,27,0
70,28,0
70,28,0
70,29,0
70,29,0
70,29,0
70,30,1
70,31,0
70,32,1
70,33,0
70,33,0
70,34,0
70,35,0
70,35,0
70,36,0
71,25,0
71,26,0
71,27,0
71,28,0
71,28,0
71,29,0
71,29,0
71,30,0
71,30,0
71,31,1
71,32,0
71,32,0
71,33,0
71,34,0
71,34,0
71,34,0
71,35,0
71,36,0
71,37,0
71,37,0
71,37,0
72,25,0
72,26,0
72,27,0
72,27,0
72,28,0
72,29,0
72,29,0
72,30,0
72,31,0
72,31,0
72,32,1
72,32,0
72,33,0
72,34,0
72,35,0
72,35,0
72,36,0
72,37,0
72,37,0
73,25,0
73,26,0
73,27,0
73,28,0
73,29,0
73,30,0
73,30,0
73,31,0
73,31,0
73,32,1
73,32,0
73,32,0
73,33,0
73,33,0
73,34,0
73,34,0
73,35,0
73,36,0
73,36,0
73,36,0
73,37,0
73,37,0
73,37,0
73,38,0
74,26,0
74,27,0
74,28,0
74,29,0
74,30,0
74,31,0
74,31,0
74,32,1
74,33,0
74,34,1
74,35,0
74,35,0
74,36,0
74,37,0
74,38,0
75,26,0
75,27,0
75,28,0
75,29,0
75,29,0
75,29,0
75,30,0
75,30,0
75,31,0
75,32,0
75,32,0
75,32,0
75,33,1
75,33,0
75,34,0
75,35,0
75,36,0
75,37,0
75,38,0
75,39,0
76,26,0
76,27,0
76,27,0
76,27,0
76,28,0
76,28,0
76,29,0
76,29,0
76,30,0
76,31,0
76,32,0
76,33,0
76,33,0
76,34,1
76,35,0
76,35,0
76,36,0
76,37,0
76,37,0
76,38,0
76,39,0
77,27,0
77,28,0
77,29,0
77,30,0
77,30,0
77,31,0
77,32,0
77,32,0
77,33,0
77,33,0
77,34,1
77,34,0
77,35,0
77,35,0
77,36,0
77,36,0
77,37,0
77,38,0
77,39,0
77,40,0
78,27,0
78,28,0
78,29,0
78,30,0
78,30,0
78,31,0
78,31,0
78,32,0
78,33,0
78,34,1
78,35,0
78,35,0
78,36,1
78,37,0
78,37,0
78,37,0
78,38,0
78,39,0
78,39,0
78,40,0
79,28,0
79,29,0
79,30,0
79,30,0
79,31,0
79,32,0
79,32,0
79,33,0
79,33,0
79,34,0
79,34,0
79,35,1
79,35,0
79,36,0
79,36,0
79,37,0
79,38,0
79,39,0
79,40,0
79,41,0
80,28,0
80,29,0
80,30,0
80,31,0
80,31,0
80,32,0
80,33,0
80,34,1
80,35,0
80,35,0
80,36,1
80,37,0
80,37,0
80,38,0
80,39,0
80,39,0
80,39,0
80,40,0
80,41,0
81,28,0
81,29,0
81,30,0
81,31,0
81,32,0
81,32,0
81,33,0
81,34,0
81,34,0
81,35,1
81,35,0
81,36,0
81,36,0
81,37,0
81,37,0
81,38,0
81,38,0
81,38,0
81,39,0
81,40,0
81,41,0
81,42,0
82,28,0
82,29,0
82,30,0
82,31,0
82,31,0
82,32,0
82,33,0
82,33,0
82,34,0
82,35,0
82,35,0
82,36,1
82,37,0
82,37,0
82,38,0
82,39,0
82,39,0
82,39,0
82,40,0
82,41,0
82,41,0
82,42,0
83,29,0
83,30,0
83,31,0
83,32,0
83,33,0
83,34,0
83,34,0
83,35,0
83,35,0
83,36,1
83,36,0
83,36,0
83,37,0
83,37,0
83,38,0
83,38,0
83,39,0
83,39,0
83,40,0
83,40,0
83,40,0
83,41,0
83,42,0
83,43,0
84,29,0
84,30,0
84,31,0
84,31,0
84,32,0
84,33,0
84,33,0
84,34,0
84,35,0
84,35,0
84,35,0
84,36,1
84,36,0
84,37,0
84,37,0
84,38,1
84,39,0
84,39,0
84,39,0
84,40,0
84,41,0
84,41,0
84,41,0
84,42,0
84,43,0
85,30,0
85,31,0
85,32,0
85,33,0
85,34,0
85,35,0
85,36,0
85,36,0
85,36,0
85,37,1
85,37,0
85,38,0
85,38,0
85,39,0
85,39,0
85,39,0
85,40,0
85,40,0
85,41,0
85,41,0
85,41,0
85,42,0
85,43,0
85,44,0
86,30,0
86,31,0
86,32,0
86,33,0
86,34,0
86,35,0
86,36,1
86,37,0
86,37,0
86,38,1
86,38,0
86,39,0
86,39,0
86,39,0
86,40,0
86,41,0
86,41,0
86,41,0
86,42,0
86,43,0
86,43,0
86,44,0
87,31,0
87,32,0
87,33,0
87,34,0
87,35,0
87,36,0
87,37,0
87,38,1
87,38,0
87,39,0
87,39,0
87,40,0
87,40,0
87,41,0
87,41,0
87,42,0
87,43,0
87,43,0
87,43,0
87,44,0
88,31,0
88,32,0
88,33,0
88,34,0
88,35,0
88,35,0
88,36,0
88,37,0
88,37,0
88,38,1
88,39,0
88,39,0
88,39,0
88,40,0
88,40,0
88,41,0
88,41,0
88,42,0
88,43,0
88,43,0
88,43,0
88,44,0
88,45,0
89,32,0
89,33,0
89,34,0
89,35,0
89,36,0
89,37,0
89,38,0
89,39,1
89,39,0
89,40,0
89,40,0
89,41,0
89,41,0
89,42,0
89,42,0
89,43,0
89,43,0
89,44,0
89,45,0
90,32,0
90,33,0
90,33,0
90,34,0
90,35,0
90,36,0
90,37,0
90,37,0
90,38,0
90,39,0
90,39,0
90,40,1
90,40,0
90,40,0
90,41,0
90,41,0
90,41,0
90,41,0
90,41,0
90,41,0
90,42,0
90,42,0
90,43,0
90,43,0
90,44,0
90,45,0
90,45,0
90,46,0
91,33,0
91,34,0
91,35,0
91,36,0
91,37,0
91,38,0
91,39,0
91,39,0
91,40,1
91,40,0
91,41,0
91,41,0
91,41,0
91,42,0
91,42,0
91,43,0
91,43,0
91,44,0
91,44,0
91,45,0
91,45,0
91,46,0
92,33,0
92,34,0
92,34,0
92,35,0
92,35,0
92,35,0
92,36,0
92,37,0
92,38,0
92,39,0
92,39,0
92,40,1
92,41,0
92,41,0
92,41,0
92,41,0
92,42,1
92,42,0
92,43,0
92,43,0
92,43,0
92,43,0
92,44,0
92,44,0
92,45,0
92,45,0
92,45,0
92,46,0
92,47,0
93,34,0
93,34,0
93,35,0
93,36,0
93,37,0
93,37,0
93,38,0
93,39,0
93,39,0
93,40,0
93,41,1
93,41,0
93,41,0
93,42,0
93,42,0
93,42,0
93,43,0
93,43,0
93,43,0
93,44,0
93,44,0
93,44,0
93,45,0
93,46,0
93,47,0
94,34,0
94,34,0
94,35,0
94,35,0
94,36,0
94,37,0
94,37,0
94,37,0
94,38,0
94,39,0
94,39,0
94,40,1
94,41,0
94,41,0
94,42,1
94,43,0
94,43,0
94,44,0
94,44,0
94,45,0
94,45,0
94,45,0
94,46,0
94,46,0
94,46,0
94,47,0
94,47,0
94,47,0
94,48,0
95,34,0
95,35,0
95,35,0
95,36,0
95,36,0
95,37,0
95,37,0
95,38,0
95,39,0
95,39,0
95,40,0
95,41,0
95,41,0
95,42,1
95,43,0
95,43,0
95,44,0
95,45,0
95,45,0
95,46,0
95,46,0
95,47,0
95,47,0
95,47,0
95,47,0
95,48,0
96,35,0
96,35,0
96,36,0
96,37,0
96,37,0
96,37,0
96,38,0
96,39,0
96,39,0
96,39,0
96,40,0
96,41,0
96,42,1
96,43,0
96,43,0
96,44,1
96,45,0
96,45,0
96,46,0
96,46,0
96,47,0
96,47,0
96,47,0
96,47,0
96,47,0
96,48,0
96,48,0
96,48,0
96,49,0
97,35,0
97,36,0
97,37,0
97,37,0
97,38,0
97,38,0
97,38,0
97,39,0
97,39,0
97,39,0
97,40,0
97,40,0
97,41,0
97,41,0
97,42,1
97,43,0
97,43,0
97,44,0
97,45,0
97,45,0
97,46,0
97,47,0
97,47,0
97,48,0
97,48,0
97,48,0
97,49,0
97,49,0
98,35,0
98,36,0
98,37,0
98,37,0
98,37,0
98,38,0
98,39,0
98,39,0
98,39,0
98,39,0
98,39,0
98,39,0
98,39,0
98,40,0
98,40,0
98,41,0
98,41,0
98,42,1
98,43,0
98,43,0
98,44,1
98,45,0
98,45,0
98,46,0
98,47,0
98,47,0
98,48,0
98,48,0
98,48,0
98,49,0
98,49,0
99,36,0
99,37,0
99,38,0
99,39,0
99,39,0
99,40,0
99,40,0
99,41,0
99,41,0
99,42,0
99,42,0
99,42,0
99,43,0
99,43,0
99,44,1
99,45,0
99,45,0
99,46,0
99,47,0
99,47,0
99,48,0
99,49,0
99,49,0
99,50,0
100,36,0
100,37,0
100,38,0
100,38,0
100,39,0
100,39,0
100,40,0
100,41,0
100,41,0
100,41,0
100,41,0
100,42,0
100,43,0
100,43,0
100,43,0
100,44,1
100,45,0
100,45,0
100,45,0
100,45,0
100,46,0
100,47,0
100,47,0
100,48,0
100,49,0
100,50,0
100,50,0
101,36,0
101,37,0
101,38,0
101,39,0
101,39,0
101,40,0
101,41,0
101,42,0
101,42,0
101,42,0
101,43,0
101,43,0
101,44,1
101,44,0
101,45,0
101,45,0
101,46,0
101,47,0
101,47,0
101,48,0
101,49,0
101,49,0
101,50,0
102,37,0
102,38,0
102,39,0
102,39,0
102,40,0
102,41,0
102,41,0
102,42,0
102,43,0
102,43,0
102,44,1
102,45,0
102,45,0
102,46,1
102,47,0
102,47,0
102,48,0
102,49,0
102,50,0
102,50,0
102,51,0
103,37,0
103,38,0
103,39,0
103,40,0
103,41,0
103,42,0
103,43,0
103,44,0
103,44,0
103,45,1
103,45,0
103,46,0
103,47,0
103,47,0
103,48,0
103,49,0
103,49,0
103,50,0
103,51,0
104,37,0
104,38,0
104,39,0
104,40,0
104,41,0
104,41,0
104,42,0
104,43,0
104,43,0
104,43,0
104,44,1
104,45,0
104,45,0
104,46,1
104,47,0
104,47,0
104,48,0
104,49,0
104,49,0
104,50,0
104,51,0
104,52,0
105,38,0
105,39,0
105,40,0
105,41,0
105,42,0
105,43,0
105,44,0
105,44,0
105,45,0
105,45,0
105,46,1
105,46,0
105,47,0
105,47,0
105,48,0
105,48,0
105,49,0
105,49,0
105,50,0
105,51,0
105,52,0
106,38,0
106,39,0
106,40,0
106,41,0
106,41,0
106,41,0
106,42,0
106,43,0
106,44,0
106,45,0
106,45,0
106,46,1
106,47,0
106,47,0
106,48,1
106,49,0
106,49,0
106,50,0
106,51,0
106,51,0
106,52,0
106,53,0
107,38,0
107,39,0
107,40,0
107,41,0
107,42,0
107,42,0
107,43,0
107,43,0
107,43,0
107,44,0
107,45,0
107,45,0
107,46,0
107,46,0
107,46,0
107,47,1
107,47,0
107,48,0
107,49,0
107,49,0
107,50,0
107,51,0
107,52,0
107,53,0
108,39,0
108,40,0
108,40,0
108,41,0
108,41,0
108,42,0
108,43,0
108,44,0
108,45,0
108,45,0
108,46,1
108,47,0
108,47,0
108,48,1
108,49,0
108,49,0
108,50,0
108,51,0
108,52,0
108,53,0
108,54,0
109,39,0
109,40,0
109,41,0
109,41,0
109,42,0
109,42,0
109,43,0
109,44,0
109,44,0
109,45,0
109,45,0
109,46,0
109,46,0
109,46,0
109,47,1
109,47,0
109,48,0
109,48,0
109,48,0
109,49,0
109,49,0
109,49,0
109,50,0
109,51,0
109,52,0
109,53,0
109,54,0
110,40,0
110,41,0
110,41,0
110,42,0
110,43,0
110,44,0
110,45,0
110,45,0
110,46,1
110,47,0
110,47,0
110,47,0
110,48,1
110,49,0
110,49,0
110,50,0
110,51,0
110,52,0
110,53,0
110,54,0
111,40,0
111,41,0
111,42,0
111,42,0
111,43,0
111,44,0
111,45,0
111,46,0
111,46,0
111,47,0
111,47,0
111,48,1
111,48,0
111,49,0
111,49,0
111,50,0
111,50,0
111,51,0
111,52,0
111,53,0
111,54,0
111,55,0
112,40,0
112,41,0
112,42,0
112,43,0
112,43,0
112,44,0
112,45,0
112,45,0
112,46,0
112,47,0
112,48,1
112,49,0
112,49,0
112,49,0
112,49,0
112,50,1
112,51,0
112,51,0
112,52,0
112,53,0
112,54,0
112,55,0
113,40,0
113,41,0
113,42,0
113,43,0
113,43,0
113,44,0
113,44,0
113,45,0
113,46,0
113,46,0
113,47,0
113,47,0
113,48,0
113,48,0
113,49,1
113,49,0
113,50,0
113,50,0
113,51,0
113,52,0
113,53,0
113,54,0
113,54,0
113,55,0
113,56,0
114,41,0
114,42,0
114,43,0
114,43,0
114,44,0
114,45,0
114,45,0
114,46,0
114,47,0
114,47,0
114,48,1
114,49,0
114,49,0
114,49,0
114,50,1
114,50,0
114,51,0
114,51,0
114,52,0
114,53,0
114,53,0
114,54,0
114,55,0
114,56,0
115,41,0
115,42,0
115,43,0
115,44,0
115,44,0
115,45,0
115,46,0
115,46,0
115,47,0
115,47,0
115,48,0
115,48,0
115,49,0
115,49,0
115,50,1
115,50,0
115,50,0
115,51,0
115,51,0
115,52,0
115,52,0
115,52,0
115,53,0
115,54,0
115,55,0
115,56,0
116,41,0
116,42,0
116,43,0
116,44,0
116,45,0
116,45,0
116,46,0
116,47,0
116,47,0
116,47,0
116,48,0
116,49,0
116,49,0
116,49,0
116,50,1
116,50,0
116,50,0
116,51,0
116,51,0
116,51,0
116,52,0
116,53,0
116,53,0
116,54,0
116,55,0
116,55,0
116,56,0
116,57,0
117,42,0
117,43,0
117,44,0
117,44,0
117,45,0
117,45,0
117,46,0
117,46,0
117,47,0
117,47,0
117,48,0
117,48,0
117,49,0
117,49,0
117,50,1
117,50,0
117,50,0
117,51,0
117,51,0
117,51,0
117,52,0
117,52,0
117,53,0
117,54,0
117,55,0
117,55,0
117,56,0
117,57,0
117,57,0
118,42,0
118,43,0
118,44,0
118,45,0
118,45,0
118,46,0
118,47,0
118,47,0
118,47,0
118,47,0
118,48,0
118,49,0
118,49,0
118,49,0
118,50,1
118,50,0
118,50,0
118,51,0
118,51,0
118,51,0
118,52,0
118,53,0
118,53,0
118,54,0
118,55,0
118,55,0
118,56,0
118,57,0
119,42,0
119,43,0
119,44,0
119,44,0
119,45,0
119,46,0
119,46,0
119,47,0
119,47,0
119,48,0
119,48,0
119,49,0
119,49,0
119,49,0
119,49,0
119,50,1
119,50,0
119,50,0
119,50,0
119,51,0
119,51,0
119,51,0
119,52,0
119,52,0
119,53,0
119,54,0
119,55,0
119,55,0
119,56,0
119,57,0
119,58,0
120,43,0
120,44,0
120,45,0
120,45,0
120,46,0
120,47,0
120,47,0
120,47,0
120,48,0
120,49,0
120,49,0
120,49,0
120,50,1
120,50,0
120,50,0
120,51,0
120,51,0
120,51,0
120,51,0
120,52,1
120,53,0
120,53,0
120,53,0
120,54,0
120,55,0
120,55,0
120,56,0
120,57,0
120,58,0
121,43,0
121,44,0
121,45,0
121,46,0
121,46,0
121,46,0
121,47,0
121,47,0
121,48,0
121,48,0
121,49,0
121,49,0
121,49,0
121,50,0
121,50,0
121,50,0
121,50,0
121,50,0
121,51,1
121,51,0
121,52,0
121,52,0
121,53,0
121,53,0
121,54,0
121,55,0
121,55,0
121,56,0
121,57,0
121,58,0
121,59,0
122,43,0
122,44,0
122,45,0
122,45,0
122,46,0
122,47,0
122,47,0
122,47,0
122,47,0
122,48,0
122,49,0
122,49,0
122,49,0
122,50,1
122,50,0
122,50,0
122,50,0
122,51,0
122,51,0
122,51,0
122,51,0
122,52,1
122,53,0
122,53,0
122,53,0
122,53,0
122,53,0
122,54,0
122,55,0
122,55,0
122,55,0
122,55,0
122,56,0
122,57,0
122,58,0
122,59,0
123,44,0
123,45,0
123,46,0
123,46,0
123,47,0
123,47,0
123,47,0
123,47,0
123,48,0
123,48,0
123,49,0
123,49,0
123,49,0
123,49,0
123,50,0
123,50,0
123,50,0
123,50,0
123,50,0
123,51,1
123,51,0
123,51,0
123,52,1
123,52,0
123,53,0
123,54,0
123,54,0
123,55,0
123,55,0
123,55,0
123,56,0
123,56,0
123,57,0
123,58,0
123,59,0
124,44,0
124,45,0
124,46,0
124,46,0
124,47,0
124,47,0
124,47,0
124,47,0
124,48,0
124,49,0
124,49,0
124,50,1
124,50,0
124,50,0
124,50,0
124,50,0
124,51,0
124,51,0
124,51,0
124,51,0
124,52,1
124,53,0
124,54,1
124,55,0
124,55,0
124,56,0
