ell,C_TT,C_TE,C_EE
189,3.6638685572680498e-09,-7.088744118023327e-10,9.159671393170124e-10
190,3.614013327128932e-09,-7.159441070547448e-10,9.03503331782233e-10
191,3.5647390940417733e-09,-7.225845339195943e-10,8.911847735104433e-10
192,3.5160459455411594e-09,-7.288055070788346e-10,8.790114863852899e-10
193,3.467933830448569e-09,-7.346168377792753e-10,8.669834576121422e-10
194,3.420402560913331e-09,-7.400283276312276e-10,8.551006402283328e-10
195,3.373451814503052e-09,-7.450497625357472e-10,8.43362953625763e-10
196,3.3270811363422737e-09,-7.496909067438448e-10,8.317702840855684e-10
197,3.281289941298181e-09,-7.539614970508457e-10,8.203224853245453e-10
198,3.236077516212098e-09,-7.578712371289222e-10,8.090193790530245e-10
199,3.1914430221755476e-09,-7.614297920006284e-10,7.978607555438869e-10
200,3.1473854968495847e-09,-7.646467826560794e-10,7.868463742123962e-10
201,3.103903856826138e-09,-7.675317808162611e-10,7.759759642065345e-10
202,3.0609969000300597e-09,-7.700943038447476e-10,7.652492250075149e-10
203,3.018663308160573e-09,-7.723438098099377e-10,7.546658270401432e-10
204,2.976901649170786e-09,-7.742896926997214e-10,7.442254122926965e-10
205,2.935710379783949e-09,-7.759412777903269e-10,7.339275949459873e-10
206,2.895087848045092e-09,-7.773078171708875e-10,7.23771962011273e-10
207,2.8550322959066795e-09,-7.783984854251056e-10,7.137580739766699e-10
208,2.815541861846922e-09,-7.792223754711864e-10,7.038854654617305e-10
209,2.7766145835193447e-09,-7.797884945610571e-10,6.941536458798362e-10
210,2.738248400432219e-09,-7.801057604396724e-10,6.845621001080547e-10
211,2.7004411566564624e-09,-7.801829976650509e-10,6.751102891641156e-10
212,2.6631906035605774e-09,-7.800289340894938e-10,6.657976508901444e-10
213,2.626494402571215e-09,-7.796521975022573e-10,6.566236006428038e-10
214,2.5903501279579266e-09,-7.790613124337777e-10,6.475875319894817e-10
215,2.554755269640666e-09,-7.782646971213591e-10,6.386888174101665e-10
216,2.5197072360185976e-09,-7.772706606360769e-10,6.299268090046494e-10
217,2.4852033568187524e-09,-7.760874001704563e-10,6.213008392046881e-10
218,2.4512408859630773e-09,-7.747229984863286e-10,6.128102214907693e-10
219,2.4178170044524164e-09,-7.731854215220921e-10,6.044542511131041e-10
220,2.384928823265947e-09,-7.714825161584374e-10,5.962322058164867e-10
221,2.3525733862746162e-09,-7.696220081414397e-10,5.881433465686541e-10
222,2.3207476731670794e-09,-7.676115001617475e-10,5.801869182917698e-10
223,2.2894486023866834e-09,-7.654584700884528e-10,5.723621505966709e-10
224,2.258673034078007e-09,-7.631702693560566e-10,5.646682585195018e-10
225,2.228417773041476e-09,-7.607541215028078e-10,5.57104443260369e-10
226,2.1986795716945734e-09,-7.582171208585347e-10,5.496698929236434e-10
227,2.169455133038169e-09,-7.555662313799396e-10,5.423637832595423e-10
228,2.1407411136264743e-09,-7.528082856311999e-10,5.351852784066186e-10
229,2.1125341265391586e-09,-7.499499839075666e-10,5.281335316347896e-10
