source,snid,ra,dec,z_helio,band,mjd,mag,mag_err,flux_nu_jy,flux_nu_jy_err,zp,zpsys,wavelength_eff_nm
osc,SN2011fe,,,,b,55852.4,13.098,0.021,0.020932748178983412,0.000404875244863534,,AB,438.0
osc,SN2011fe,,,,i,55852.4,11.255,0.022,0.1142947412850186,0.002315925633916356,,AB,763.0
osc,SN2011fe,,,,r,55852.4,11.615,0.033,0.08204011281672371,0.002493537298551259,,AB,623.0
osc,SN2011fe,,,,v,55852.4,11.921,0.014,0.06189082173213032,0.0007980497476759093,,AB,545.0
osc,SN2011fe,,,,b,55852.7192,13.105,0.011,0.020798223885095418,0.00021071459322572305,,AB,438.0
osc,SN2011fe,,,,ic,55852.7192,11.28,0.016,0.1116930753432352,0.0016459699857663632,,AB,550.0
osc,SN2011fe,,,,rc,55852.7192,11.591,0.01,0.08387378633308835,0.000772506120414148,,AB,550.0
osc,SN2011fe,,,,v,55852.7192,11.914,0.007,0.06229113567901627,0.00040160579323248277,,AB,545.0
osc,SN2011fe,,,,b,55852.72,13.06,0.05,0.021678351255859107,0.0009983249688485989,,AB,438.0
osc,SN2011fe,,,,i,55852.72,11.33,0.02,0.10666605886272318,0.001964861416525855,,AB,763.0
osc,SN2011fe,,,,r,55852.72,11.66,0.02,0.07870933604600301,0.0014498795508718838,,AB,623.0
osc,SN2011fe,,,,v,55852.72,11.94,0.02,0.06081717582851997,0.0011202937796859834,,AB,545.0
osc,SN2011fe,,,,b,55852.7676,13.105,0.011,0.020798223885095418,0.00021071459322572305,,AB,438.0
osc,SN2011fe,,,,ic,55852.7676,11.247,0.016,0.11514000630819796,0.0016967658376479812,,AB,550.0
osc,SN2011fe,,,,rc,55852.7676,11.603,0.01,0.08295188299931675,0.000764015076920052,,AB,550.0
osc,SN2011fe,,,,v,55852.7676,11.92,0.007,0.06194785154470345,0.0003993925586275586,,AB,545.0
osc,SN2011fe,,,,u,55853.3079,13.484,0.036,0.01466986944739364,0.00048641216696261857,,AB,355.1
