snid,n_obs,chi2_dof,stretch,residual,ln_A,t0,A_plasma,beta,neg_logL,pass_n_obs,pass_chi2,pass_stretch,is_flashlight,is_candidate,z
1282143,99,5.778420819424942,6.905153606474089,1.403834607335734,5.785151686904605,57198.419,0.1,1.5,277.3641993323972,True,True,True,False,False,1.906344056129456
1664053,126,3.2031952803517405,4.42492960332934,0.7897472671725863,0.8712797934272309,57591.617701246585,0.1,1.5,196.99650974163205,True,True,True,False,False,0.6495800018310547
1954072,40,4.23306054905336,2.652116636512152,1.057440290519596,2.9787612226229285,58081.18255682664,0.1,1.5,78.31162015748717,True,True,True,False,False,0.3347600102424621
1246530,78,19.99703143072124,6.129035592030947,3.4718040465477955,7.063085840033693,56502.209,0.1,1.5,749.8886786520463,True,False,True,True,False,2.060159921646118
1292810,43,22.69080046406896,7.354136436929406,3.763486167091173,6.906907751693481,56881.279,0.1,1.5,453.8160092813792,True,False,True,True,False,1.8149399757385247
1773283,104,5.272327228571768,5.967579177616653,1.2961548790470925,1.8008087721019734,57931.203,0.1,1.5,266.25252504287425,True,True,True,False,False,0.465829998254776
1432027,142,4.708471465418905,2.486801092635521,1.1699012570665293,3.702468631029582,57615.97068733457,0.1,1.5,327.2387668466139,True,True,True,False,False,0.3508799970149994
1257863,91,4.981964650443979,0.7035821675805844,1.232031507493561,1.6654649412447533,56895.279497582575,0.1,1.5,219.2064446195351,True,True,True,False,False,0.3991099894046783
1315818,127,3.745038637124253,1.9578802795047188,0.9352102307305664,3.986547467893743,56960.76306476046,0.1,1.5,232.1923955017037,True,True,True,False,False,0.5527399778366089
1289759,84,4.844724638810219,8.976289994595296,1.2010735196285969,8.532924309355899,57275.106,0.1,1.5,196.21134787181387,True,True,True,False,False,3.5839459896087646
1312769,92,4.737448007764453,5.157718371342098,1.1765679423726825,1.3158138786493687,56865.31241726507,0.1,1.5,210.81643634551816,True,True,True,False,False,0.3465400040149688
1273310,105,3.5624950809390703,2.1866354764692693,0.8874573057261641,3.603423809097805,56484.84168205319,0.1,1.5,181.68724912789256,True,True,True,False,False,0.7813299894332886
1246752,67,10.396681691981009,5.906834895329646,2.224388576456164,5.510318058326519,57199.293,0.1,1.5,332.6938141433923,True,False,True,True,False,1.756999969482422
