snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_ln_A,chi2_per_obs
1250166,0.524117,22.4792,18.0768,42.6413,42.3841,-24.5645,-24.3073,22.624735,-12.07
1337975,0.803070,22.4674,19.0161,42.8748,43.5128,-23.8587,-24.4967,21.974643,-11.19
1308326,0.326216,22.5400,16.9811,41.9795,41.1660,-24.9984,-24.1849,23.024370,-11.15
1261259,0.527231,22.0031,18.6066,42.6474,42.3996,-24.0408,-23.7930,22.142407,-12.47
1481029,0.629968,25.3189,15.3930,42.7973,42.8676,-27.4043,-27.4746,25.240262,-11.48
1848146,0.319792,21.6069,17.9510,41.9459,41.1159,-23.9949,-23.1649,22.100116,-11.26
1377059,0.639370,27.7341,12.8029,42.8066,42.9068,-30.0037,-30.1039,27.634413,-9.93
1336150,0.348096,20.3838,19.4631,42.0865,41.3302,-22.6235,-21.8671,20.836974,-12.40
1367234,0.251732,21.7980,17.2239,41.5167,40.5192,-24.2928,-23.2953,22.374539,-10.74
1265609,0.214909,18.5815,20.3727,41.2130,40.1311,-20.8403,-19.7584,19.194629,-11.79
1274854,0.301291,18.8298,20.8369,41.8431,40.9662,-21.0062,-20.1294,19.347464,-10.85
1550103,0.531656,21.6475,19.0107,42.6559,42.4214,-23.6451,-23.4107,21.777978,-12.33
1933271,0.469408,27.6128,12.2636,42.5162,42.0971,-30.2526,-29.8334,27.863641,-1.64
1879426,0.229409,24.1420,14.4773,41.3400,40.2907,-26.8627,-25.8135,24.741458,-9.69
1271379,0.541978,19.1101,21.8074,42.6749,42.4718,-20.8675,-20.6644,19.219676,-11.51
1290093,0.313988,18.4371,21.3528,41.9146,41.0698,-20.5618,-19.7170,18.938095,-12.20
1260058,0.389480,22.9601,16.9099,42.2613,41.6162,-25.3514,-24.7064,23.349543,-11.68
1325789,0.493938,21.8982,18.5788,42.5766,42.2294,-23.9978,-23.6506,22.102813,-11.42
1310046,0.635023,20.4354,20.7125,42.8024,42.8887,-22.0898,-22.1762,20.345465,-10.76
1264006,0.682359,21.5742,19.6322,42.8408,43.0791,-23.2086,-23.4469,21.375886,-12.12
1265089,0.444724,22.8055,17.3658,42.4476,41.9572,-25.0818,-24.5914,23.101149,-11.91
1246527,0.320776,21.8404,17.7041,41.9511,41.1236,-24.2469,-23.4195,22.332264,-12.21
1290528,0.415040,19.7707,20.5107,42.3535,41.7792,-21.8428,-21.2685,20.117937,-11.48
1332264,0.189880,19.0970,19.5442,40.9671,39.8306,-21.4229,-20.2864,19.731234,-12.06
1347884,0.555240,21.3110,19.4704,42.6978,42.5351,-23.2274,-23.0647,21.393259,-11.15
1266274,0.688576,21.5897,19.6351,42.8447,43.1032,-23.2096,-23.4681,21.376819,-11.69
1263788,0.757288,20.8050,20.6936,42.8717,43.3562,-22.1780,-22.6626,20.426721,-11.50
1392308,0.433991,25.5083,14.3782,42.4151,41.8942,-28.0368,-27.5159,25.822893,-10.05
1290435,1.129195,27.5776,14.2079,42.6432,44.4266,-28.4353,-30.2187,26.189843,-11.60
1258450,0.554670,18.8795,22.1081,42.6969,42.5325,-20.5888,-20.4244,18.963008,-12.03
1719022,0.240612,19.9895,19.0893,41.4313,40.4078,-22.3420,-21.3185,20.577760,-10.90
1880486,0.634075,21.4131,19.6478,42.8014,42.8848,-23.1537,-23.2370,21.325302,-11.61
1370113,0.655529,22.2068,18.8583,42.8210,42.9728,-23.9626,-24.1145,22.070404,-12.12
1298667,0.840929,22.8381,18.7137,42.8694,43.6359,-24.1557,-24.9222,22.248192,-12.08
1327645,0.343837,21.6977,18.0099,42.0666,41.2990,-24.0567,-23.2891,22.157007,-11.73
1335451,0.799179,22.4456,19.0293,42.8750,43.4998,-23.8457,-24.4705,21.962663,-12.34
1320062,0.070090,20.8491,15.4778,38.8590,37.4990,-23.3813,-22.0212,21.534935,-5.22
1659022,0.303173,22.4700,16.8980,41.8540,40.9818,-24.9559,-24.0838,22.985262,-10.70
1247096,0.398860,20.9804,19.1110,42.2964,41.6771,-23.1855,-22.5662,21.354613,-10.97
1334470,0.518753,22.4373,18.0999,42.6305,42.3572,-24.5306,-24.2573,22.593536,-12.16
1248134,1.056584,22.7349,19.3215,42.7264,44.2480,-23.4049,-24.9265,21.556692,-12.55
1340493,0.717185,22.0265,19.2493,42.8594,43.2114,-23.6101,-23.9621,21.745733,-11.95
1307011,0.314956,18.4744,21.3189,41.9199,41.0776,-20.6009,-19.7586,18.974166,-10.92
1503109,0.636805,25.1404,15.6103,42.8041,42.8961,-27.1938,-27.2859,25.046448,-10.67
1863033,0.220071,17.7143,21.3658,41.2594,40.1891,-19.8936,-18.8233,18.322699,-10.68
1281337,0.369526,24.3331,15.3050,42.1812,41.4820,-26.8763,-26.1770,24.753978,-9.68
1280819,0.216546,18.2416,20.7582,41.2279,40.1496,-20.4697,-19.3914,18.853275,-11.95
1256028,0.955210,21.6002,20.3345,42.8151,43.9773,-22.4806,-23.6428,20.705409,-12.26
1309502,0.317099,18.8652,20.9094,41.9315,41.0946,-21.0220,-20.1852,19.362010,-11.81
1249907,0.796825,20.8619,20.7424,42.8750,43.4920,-22.1327,-22.7496,20.384924,-11.88
1262078,0.244565,22.1374,16.7927,41.4623,40.4480,-24.6696,-23.6553,22.721540,-11.22
