snid,ra,dec,z,mjd,band,flux_nu_jy,flux_nu_jy_err,wavelength_eff_nm,snr,survey,source_dataset
1248677,53.646217,-28.127001,0.35067,56615.157,z,3.546390874404982e-08,5.13471807740422e-09,926.0,6.9066905347952545,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56615.23,i,3.35477552835088e-08,3.1719174338621037e-09,784.0,10.57649071358749,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56615.255,r,1.2753667765108625e-08,4.380324133231071e-09,642.0,2.9115808276272697,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56617.043,g,1.2677296573764726e-08,3.7117771082026055e-09,472.0,3.415425065731814,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56625.224,g,1.1510698119581747e-08,2.5385372025706562e-09,472.0,4.534382284382285,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56625.229,z,2.899134299792587e-08,2.7681868319032056e-09,926.0,10.473044183218484,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56625.281,i,2.920780287449625e-08,1.8981405094729782e-09,784.0,15.38758734073161,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56627.145,r,1.1350638453259321e-08,7.962559716029688e-10,642.0,14.255012028869286,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56629.052,g,8.221388072660178e-09,3.7056697709858005e-09,472.0,2.2185970636215337,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56629.077,z,3.1184208252406206e-08,4.322152163208467e-09,926.0,7.214972327410428,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56629.123,i,2.243232560183997e-08,2.917382089916228e-09,784.0,7.689196995956094,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56635.198,r,9.926875036690979e-09,1.0472631910922131e-09,642.0,9.478873239436622,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56635.258,g,1.4629745269988687e-08,3.1264171000147105e-09,472.0,4.67939651107968,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56636.055,z,2.9371577611522144e-08,2.4950254044405582e-09,926.0,11.77205553067622,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56636.127,i,2.2190840498799288e-08,1.6799219377675463e-09,784.0,13.209447415329766,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56641.074,z,2.2099164802146515e-08,3.0436044276222373e-09,926.0,7.260853152132881,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56645.15,i,2.1052133650354777e-08,1.911621800634451e-09,784.0,11.012708498808578,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56646.067,g,8.423142110252714e-09,3.920258259329522e-09,472.0,2.148619186046512,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56648.055,z,2.430665181695938e-08,2.4697613587912304e-09,926.0,9.841700587969246,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56648.209,r,8.432434846776005e-09,1.4453640360052163e-09,642.0,5.834125269978402,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56649.182,i,1.6658113747031482e-08,1.886910952766417e-09,784.0,8.828245828245828,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56653.062,g,1.16477215877275e-08,4.5140471210379766e-09,472.0,2.580327868852459,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56653.177,z,1.6790419296835028e-08,4.4224869962149054e-09,926.0,3.79660116834838,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56655.051,r,7.984991224383392e-09,7.684457384955576e-10,642.0,10.391093117408905,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56656.062,i,1.370141935252654e-08,1.136631012014615e-09,784.0,12.054412740544128,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56660.131,g,5.073349799718001e-09,2.2980840119899772e-09,472.0,2.207643312101911,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56660.139,z,1.3775813541321949e-08,3.0685574134937386e-09,926.0,4.489345215032933,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56661.17,i,1.5017878404334324e-08,2.1558039563140983e-09,784.0,6.966254218222724,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56662.06,r,8.152574086753732e-09,8.062567437685233e-10,642.0,10.111635220125786,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56667.144,g,2.5370365866481173e-08,8.500834396234144e-09,472.0,2.9844559585492223,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56667.153,z,9.87294776815302e-09,4.596007408932237e-09,926.0,2.1481574962140333,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56668.049,z,1.1895886258419822e-08,2.6266464183737195e-09,926.0,4.528925619834712,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56668.142,i,1.5553501862325553e-08,2.3387148545391333e-09,784.0,6.650448143405889,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56668.179,r,9.173464561473383e-09,2.4949155522709538e-09,642.0,3.676863753213368,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56675.127,z,1.6567224485520097e-08,4.915565085290338e-09,926.0,3.3703601108033245,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56675.175,i,1.0055232314215831e-08,3.906387428483954e-09,784.0,2.5740489130434785,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56675.2,r,3.021046940241716e-10,5.158594996657535e-09,642.0,0.058563367393625124,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56676.081,g,-1.907348071303251e-09,-9.4287772581406e-09,472.0,0.0,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56682.109,z,8.535866716084264e-09,3.6408788988180296e-09,926.0,2.344452247191011,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56682.155,i,7.204864933249292e-09,2.090425600351203e-09,784.0,3.4466019417475726,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56683.067,g,4.297728362880103e-09,3.2501671008566957e-09,472.0,1.3223099703849952,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56683.108,r,7.439264308369629e-09,1.1266242695130553e-09,642.0,6.6031457955232895,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56687.145,g,6.510762186560299e-09,5.832991149567468e-09,472.0,1.116196136701337,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56687.157,r,6.856367100367831e-09,2.237601393044231e-09,642.0,3.064159292035398,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56688.094,z,1.3457659919567991e-08,3.854378326478212e-09,926.0,3.4915254237288127,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56690.089,i,8.424333436855779e-09,1.3158006510898549e-09,784.0,6.402439024390245,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56694.046,g,1.0411275196772417e-08,4.452996826652514e-09,472.0,2.338037865748709,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56694.055,r,6.098196027169902e-09,1.2604952796358294e-09,642.0,4.8379364252214705,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56695.044,z,6.014596960284419e-09,2.8133929509419495e-09,926.0,2.137844611528822,Pantheon_Plus_DES,Pantheon+SH0ES
1248677,53.646217,-28.127001,0.35067,56697.09,i,5.263752071355623e-09,2.1771997770225085e-09,784.0,2.417670682730924,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56534.154,g,5.559106311006988e-07,8.20036747039435e-09,472.0,67.7909414556962,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56534.157,r,4.964434512977502e-07,9.024662813274007e-09,642.0,55.00963986904329,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56534.159,i,3.4032515252879856e-07,9.230961775374371e-09,784.0,36.86778916544656,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56534.162,z,3.277886838303644e-07,1.4507502082372857e-08,926.0,22.594426109277595,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56538.161,g,1.1628068756808537e-06,1.0888311060466882e-08,472.0,106.79405366207396,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56538.163,r,1.038001896867676e-06,1.1205934147563924e-08,642.0,92.62966239127229,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56538.165,i,7.097740850990061e-07,1.0254832480905716e-08,784.0,69.21362064378825,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56538.168,z,7.550668824383426e-07,1.3938780771906881e-08,926.0,54.17022441160372,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56543.092,g,1.7825540583594178e-06,1.501119007028111e-08,472.0,118.74835039817977,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56543.094,r,1.583953395938026e-06,1.6048752233179453e-08,642.0,98.69635800491298,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56543.096,i,9.898267640008404e-07,1.4693277992224604e-08,784.0,67.36595908174047,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56543.099,z,1.0675397319119965e-06,2.5197555866138327e-08,926.0,42.36679690614783,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56547.081,g,1.82959789661692e-06,2.00608664721392e-08,472.0,91.20233660684049,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56547.083,r,1.7842899936550117e-06,1.8332758956097057e-08,642.0,97.32795799737484,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56547.085,i,1.1409120133149618e-06,1.5274817442120957e-08,784.0,74.69235017950844,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56547.088,z,1.116743243856646e-06,1.9071840253904448e-08,926.0,58.55456154148642,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56551.26,g,1.6525109279510535e-06,3.461019311798535e-08,472.0,47.746365422396856,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56551.262,r,1.5514126870557765e-06,3.298464456420966e-08,642.0,47.03439153439154,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56551.264,i,1.131028278553599e-06,2.3047623675763188e-08,784.0,49.073531157270025,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56551.267,z,9.335155355935383e-07,2.4523756078108068e-08,926.0,38.065764992128244,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56558.052,g,1.3490104961091843e-06,1.261720230571761e-08,472.0,106.91835348458089,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56558.054,r,1.562470976276415e-06,1.4003838807166258e-08,642.0,111.57447595561037,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56558.056,i,8.858022149352178e-07,1.2262691724061684e-08,784.0,72.23554459883461,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56558.059,z,6.904203075259558e-07,1.6335199529674528e-08,926.0,42.26580191271849,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56563.037,g,8.669176177466354e-07,1.1637472896640792e-08,472.0,74.49363151658768,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56563.039,r,1.3031155067966906e-06,1.5541107198800854e-08,642.0,83.84959257582616,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56563.041,i,6.838486902045566e-07,1.3887299782369276e-08,784.0,49.242739835770074,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56563.044,z,4.797294684943309e-07,2.1110230881337155e-08,926.0,22.72497497497498,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56575.028,g,2.4713062661924833e-07,7.962401526571284e-09,472.0,31.037197231833908,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56575.03,r,7.599567980123798e-07,1.0391791001092321e-08,642.0,73.13049289891394,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56575.032,i,6.395848643164077e-07,9.924833157465275e-09,784.0,64.4428832373191,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56575.035,z,7.456050675568555e-07,1.2975934621546373e-08,926.0,57.46060606060606,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56578.999,g,1.9395388455262006e-07,2.3236252583807025e-08,472.0,8.347038054138878,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56579.001,r,6.599795201414101e-07,1.929385161227061e-08,642.0,34.20672727272727,Pantheon_Plus_DES,Pantheon+SH0ES
1248907,7.281386,-43.140999,0.1714,56579.003,i,5.51125885938067e-07,1.4829213669266852e-08,784.0,37.16487591518494,Pantheon_Plus_DES,Pantheon+SH0ES
