Z,A_drip,N_drip,tension_ratio,c2_c1,family,N_mode
91.0,211.0,120.0,0.6415571364553763,0.10776420313032536,B,-2
92.0,215.0,123.0,0.6455858582729606,0.10776420313032536,B,-2
93.0,219.0,126.0,0.6775236242700643,0.11240261233960416,B,-1
94.0,221.0,127.0,0.6515362937951823,0.10776420313032536,B,-2
95.0,223.0,128.0,0.6534958132441377,0.10776420313032536,B,-2
96.0,231.0,135.0,0.7191402348763102,0.11720413327995985,B,0
97.0,233.0,136.0,0.6916637979876123,0.11240261233960416,B,-1
98.0,237.0,139.0,0.72531341437148,0.11720413327995985,B,0
99.0,239.0,140.0,0.6975505814603337,0.11240261233960416,B,-1
100.0,241.0,141.0,0.6994909268698156,0.11240261233960416,B,-1
101.0,244.0,143.0,0.702381418081866,0.11240261233960416,B,-1
102.0,248.0,146.0,0.7061987833637651,0.11240261233960416,B,-1
103.0,251.0,148.0,0.7090349534911211,0.11240261233960416,B,-1
104.0,253.0,149.0,0.7109132005536635,0.11240261233960416,B,-1
105.0,255.0,150.0,0.7127815749815567,0.11240261233960416,B,-1
106.0,258.0,152.0,0.6860373444368721,0.10776420313032536,B,-2
107.0,260.0,153.0,0.6878054897425139,0.10776420313032536,B,-2
108.0,263.0,155.0,0.6904407855594048,0.10776420313032536,B,-2
109.0,265.0,156.0,0.6921865345468681,0.10776420313032536,B,-2
110.0,267.0,157.0,0.6650532164993169,0.10328073290432352,B,-3
111.0,272.0,161.0,0.6982283684325319,0.10776420313032536,B,-2
112.0,276.0,164.0,0.7016344143750053,0.10776420313032536,B,-2
113.0,278.0,165.0,0.7033251062475033,0.10776420313032536,B,-2
114.0,284.0,170.0,0.7388379332120293,0.11240261233960416,B,-1
115.0,287.0,172.0,0.7414303682534701,0.11240261233960416,B,-1
116.0,289.0,173.0,0.7124818455790174,0.10776420313032536,B,-2
117.0,291.0,174.0,0.7141216254608572,0.10776420313032536,B,-2
118.0,293.0,175.0,0.7157539091406707,0.10776420313032536,B,-2
