redshift,distance_modulus,sigma_mu
0.110379,17.0923,0.5222068555658763
0.110478,13.8804,0.2846049894151541
0.111892,15.5403,0.5062361109205862
0.112184,18.0139,0.49862310415783984
0.113234,14.6818,0.39515819616958475
0.114345,16.5716,0.48698049242243774
0.114507,20.4821,0.5057914590026209
0.117241,17.8735,0.5234978509984545
0.118396,20.0042,0.5206966487312934
0.119205,20.2604,0.5015476049190146
0.119483,16.2612,0.44471901241120776
0.119483,13.7209,0.3370830758136635
0.119787,16.6945,0.35843409436045565
0.120109,18.736,0.4398863489584554
0.120122,19.2174,0.5260703375025054
0.120127,16.5816,0.47481575374033236
0.12076,16.1458,0.4848968962573384
0.120884,18.8314,0.5191820489963034
0.120889,18.7999,0.48303726564313854
0.120947,16.507,0.5017718605103318
0.121393,23.2837,0.5237127075028827
0.122404,15.8598,0.44167295593006367
0.12246,20.3651,0.4977198006911117
0.12263,16.5161,0.4554667935206693
0.122857,16.8786,0.45149750829877233
0.1236,20.0963,0.5271385017241673
0.124095,16.6754,0.508010826656283
0.125241,16.4596,0.4997499374687304
0.125791,16.5255,0.5093378053904893
0.127232,18.5522,0.5141740950300783
0.127474,19.703,0.5271385017241673
0.128115,16.9212,0.5139552509703544
0.128548,16.9469,0.5084535377003487
0.128573,16.8638,0.5102205405508484
0.129009,13.7494,0.12278029157808676
0.129054,14.1439,0.406386515524322
0.129132,14.8763,0.47717921161760596
0.129292,18.6975,0.49317846668320786
0.129683,16.1295,0.420267771783657
0.129916,17.9978,0.46111278446818194
0.130511,14.7608,0.4121589499210226
0.131997,21.7566,0.4915790882452182
0.133319,19.6579,0.5252142420003478
0.13352,17.4459,0.510881590977792
0.133821,20.7236,0.4710095540432274
0.133821,19.8085,0.5046781152378216
0.134348,15.3714,0.43963052669258534
0.134476,21.0704,0.5183145762951298
0.134576,16.263,0.5077893263943227
0.135004,17.7358,0.5176630178021219
0.135374,15.2232,0.433964284244683
0.135682,19.18,0.5202643558807387
0.136132,15.9321,0.4693346354148604
0.136268,18.5875,0.5230678732248808
0.136844,17.4261,0.5143928459844673
0.137414,17.3361,0.4965883607174054
0.137448,17.3104,0.48327011080761034
0.137715,21.9405,0.5252142420003478
0.137997,16.0273,0.46813459602981705
0.138217,20.2161,0.5228527517380013
