A,Z,N,element,target,sigma
24,14,10,Si,14,0.1
24,11,13,Na,11,0.1
24,12,12,Mg,12,0.1
24,13,11,Al,13,0.1
24,9,15,F,9,0.1
25,12,13,Mg,12,0.1
25,13,12,Al,13,0.1
25,9,16,F,9,0.1
25,14,11,Si,14,0.1
25,8,17,O,8,0.1
25,11,14,Na,11,0.1
25,10,15,Ne,10,0.1
26,14,12,Si,14,0.1
26,13,13,Al,13,0.1
26,11,15,Na,11,0.1
26,10,16,Ne,10,0.1
26,9,17,F,9,0.1
26,12,14,Mg,12,0.1
26,8,18,O,8,0.1
27,13,14,Al,13,0.1
27,14,13,Si,14,0.1
27,10,17,Ne,10,0.1
27,9,18,F,9,0.1
27,11,16,Na,11,0.1
27,12,15,Mg,12,0.1
27,15,12,P,15,0.1
28,14,14,Si,14,0.1
28,15,13,P,15,0.1
28,16,12,S,16,0.1
28,9,19,F,9,0.1
28,10,18,Ne,10,0.1
28,11,17,Na,11,0.1
28,12,16,Mg,12,0.1
28,13,15,Al,13,0.1
29,11,18,Na,11,0.1
29,12,17,Mg,12,0.1
29,13,16,Al,13,0.1
29,14,15,Si,14,0.1
29,10,19,Ne,10,0.1
29,9,20,F,9,0.1
29,15,14,P,15,0.1
29,16,13,S,16,0.1
30,11,19,Na,11,0.1
30,10,20,Ne,10,0.1
30,12,18,Mg,12,0.1
30,13,17,Al,13,0.1
30,16,14,S,16,0.1
30,17,13,Cl,17,0.1
30,14,16,Si,14,0.1
30,15,15,P,15,0.1
31,10,21,Ne,10,0.1
31,11,20,Na,11,0.1
31,12,19,Mg,12,0.1
31,13,18,Al,13,0.1
31,14,17,Si,14,0.1
31,15,16,P,15,0.1
31,16,15,S,16,0.1
31,17,14,Cl,17,0.1
32,11,21,Na,11,0.1
32,12,20,Mg,12,0.1
32,13,19,Al,13,0.1
32,14,18,Si,14,0.1
32,15,17,P,15,0.1
32,16,16,S,16,0.1
32,17,15,Cl,17,0.1
32,18,14,Ar,18,0.1
33,18,15,Ar,18,0.1
33,17,16,Cl,17,0.1
33,16,17,S,16,0.1
33,15,18,P,15,0.1
33,14,19,Si,14,0.1
33,13,20,Al,13,0.1
33,12,21,Mg,12,0.1
33,11,22,Na,11,0.1
34,18,16,Ar,18,0.1
34,17,17,Cl,17,0.1
34,16,18,S,16,0.1
34,15,19,P,15,0.1
34,14,20,Si,14,0.1
34,13,21,Al,13,0.1
34,12,22,Mg,12,0.1
34,11,23,Na,11,0.1
35,12,23,Mg,12,0.1
35,13,22,Al,13,0.1
35,14,21,Si 2,14,0.1
35,15,20,P,15,0.1
35,16,19,S,16,0.1
35,17,18,Cl,17,0.1
35,18,17,Ar,18,0.1
35,19,16,K,19,0.1
36,14,22,Si,14,0.1
36,15,21,P,15,0.1
36,16,20,S,16,0.1
36,17,19,Cl,17,0.1
36,18,18,Ar,18,0.1
36,19,17,K,19,0.1
36,20,16,Ca,20,0.1
36,12,24,Mg,12,0.1
36,13,23,Al,13,0.1
37,12,25,Mg,12,0.1
37,13,24,Al,13,0.1
37,14,23,Si,14,0.1
37,15,22,P  p,15,0.1
37,16,21,S,16,0.1
37,17,20,Cl,17,0.1
37,18,19,Ar,18,0.1
37,19,18,K,19,0.1
37,20,17,Ca,20,0.1
38,14,24,Si,14,0.1
38,15,23,P,15,0.1
38,16,22,S,16,0.1
38,17,21,Cl,17,0.1
38,18,20,Ar,18,0.1
38,19,19,K,19,0.1
38,20,18,Ca,20,0.1
39,14,25,Si,14,0.1
39,15,24,P,15,0.1
39,16,23,S  2,16,0.1
39,17,22,Cl,17,0.1
39,18,21,Ar,18,0.1
39,19,20,K,19,0.1
39,20,19,Ca,20,0.1
39,21,18,Sc 2,21,0.1
40,14,26,Si,14,0.1
40,15,25,P,15,0.1
40,16,24,S,16,0.1
40,17,23,Cl,17,0.1
