zCMB,target,sigma
0.387297,41.89246533,0.104707
0.348584,41.30094104,0.143076
0.255491,40.48594463,0.128095
0.216583,40.3602717,0.140076
0.43,41.31885817,0.137263
0.62,43.22796202,0.10339
0.57,42.48911036,0.10952
0.3,40.96279515,0.139008
0.38,42.06317653,0.136326
0.43,42.39854151,0.121401
0.24,40.74219158,0.123428
0.44,42.04953327,0.153175
0.5,42.36300326,0.108074
0.97,42.82120383,0.169087
0.479,42.35175776,0.117418
0.83,43.54240344,0.144007
0.416,42.42361704,0.148553
0.581,42.06342328,0.143848
0.45,41.83199185,0.141956
0.579,43.18636334,0.155673
0.32,41.24460345,0.121571
0.657,42.97524872,0.141384
0.43,41.76613683,0.114346
0.472,41.96916326,0.130228
0.374,43.18511468,0.118287
0.18,40.18951732,0.122671
0.55,44.34346754,0.137765
0.592,44.15235483,0.103371
0.172,39.30222601,0.170654
0.526,41.95608086,0.098131
0.763,44.47242459,0.113674
0.58,43.30512501,0.152049
0.43,41.8019361,0.141213
0.45,42.27097318,0.137331
0.656,43.14485911,0.140035
0.495,42.11890815,0.122226
0.49,41.78743494,0.100497
0.57,42.67146671,0.125208
0.388,42.20761404,0.105095
0.45,42.40244773,0.145902
0.48,42.15994859,0.118777
0.615,42.54263661,0.103425
0.4,42.31276716,0.113836
0.655,42.31508525,0.134662
0.498,42.98372024,0.108739
0.465,41.8251633,0.102131
0.453,42.82120848,0.128071
0.425,41.20213122,0.127838
0.514,42.78619362,0.110279
0.423,41.56552588,0.11037
0.859,44.0929026,0.157841
0.936,43.30710586,0.107868
0.528,42.45434957,0.088283
0.978,43.50007216,0.130634
0.885,44.18433331,0.144685
0.815,44.0744016,0.159795
0.698,43.76872869,0.161848
0.568,42.70924962,0.144467
0.711,43.56654956,0.145206
0.3396,41.08397338,0.120734
0.3965,41.48792079,0.09724
0.812,43.65357328,0.149861
0.799,43.3788294,0.141648
0.882,43.37503893,0.160853
0.833,43.68809785,0.125674
0.874,43.29537924,0.166691
0.772,43.50999383,0.196208
0.178,39.45479082,0.117712
0.26,40.82336577,0.1304
0.186,39.71216793,0.136973
0.269,40.77616173,0.111062
0.215,40.37805767,0.12588
0.543,42.47880585,0.123343
0.75,43.24299869,0.153015
0.64,42.76424727,0.104993
0.43,42.18412421,0.122508
