A,Z,N,element,binding_energy,sigma
32,16,16,S,271.7801632,4.192e-05
32,17,15,Cl,258.3169856,0.017984
32,18,14,Ar,246.40028479999998,0.05664
33,11,22,Na,233.9675646,14.847095999999999
33,12,21,Mg,252.00246059999998,0.087879
33,13,20,Al,264.6803676,0.230538
33,14,19,Si,275.9149668,0.023066999999999997
33,15,18,P,280.9556409,0.03597
33,16,17,S,280.4218032,4.422e-05
33,17,16,Cl,274.05693809999997,0.012903000000000001
33,18,15,Ar,261.6555447,0.013233
34,11,23,Na,234.1388818,20.380144
34,12,22,Mg,256.71332459999996,0.234362
34,13,21,Al,267.25192039999996,0.07157000000000001
34,14,20,Si,283.4636406,0.027233999999999998
34,15,19,P,287.2383104,0.02754
34,16,18,S,291.83895240000004,0.0015300000000000001
34,17,17,Cl,285.56500040000003,0.0016660000000000002
34,18,16,Ar,278.7208616,0.002652
35,12,23,Mg,257.468183,9.43838
35,13,22,Al,272.5493505,0.257565
35,14,21,Si 2,285.934754,1.254995
35,15,20,P,295.618736,0.06531
35,16,19,S,298.82478849999995,0.0014000000000000002
35,17,18,Cl,298.209765,0.0012250000000000002
35,18,17,Ar,291.4611735,0.0238
35,19,16,K,278.8044315,0.01792
36,12,24,Mg,260.79912719999993,24.848532
36,13,23,Al,274.44655439999997,5.38218
36,14,22,Si,292.0507164,2.584692
36,15,21,P,299.08329119999996,0.472104
36,16,20,S,308.71403999999995,0.006768
36,17,19,Cl,306.7895591999999,0.0012959999999999998
36,18,18,Ar,306.7167456,0.000972
36,19,17,K,293.1200388,0.011699999999999999
36,20,16,Ca,281.3716764,1.44
37,12,25,Mg,261.0391255,25.861038999999998
37,13,24,Al,278.658692,6.669028
37,14,23,Si,294.2574221,4.210933
37,15,22,P  p,305.8995757,1.404076
37,16,21,S,313.0176431,0.007325999999999999
37,17,20,Cl,317.1004192,0.001924
37,18,19,Ar,315.5042022,0.007659
37,19,18,K,308.574376,0.0034779999999999998
37,20,17,Ca,296.1278979,0.023458
38,14,24,Si,299.9275286,3.982134
38,15,23,P,309.59644620000006,2.7580780000000003
38,16,22,S,321.05375019999997,0.27253599999999617
38,17,21,Cl,323.2083046,0.003724
38,18,20,Ar,327.34266660000003,0.00741
38,19,19,K,320.64625340000003,0.00741
38,20,18,Ca,313.12164920000004,0.007372
39,14,25,Si,301.50819269999994,5.285748000000001
39,15,24,P,315.82083389999997,4.393155
39,16,23,S  2,325.42652219999997,1.9500000000000002
39,17,22,Cl,331.2817248,0.067548
39,18,21,Ar,333.9413532,0.195
39,19,20,K,333.7240062,0.00017784000000000002
39,20,19,Ca,326.41717289999997,0.023243999999999997
39,21,18,Sc 2,312.52484250000003,0.936
40,14,26,Si,306.232988,4.87964
40,15,25,P,319.256708,3.34428
40,16,24,S,333.17302000000007,0.15928
40,17,23,Cl,337.11064,1.2826399999999998
40,18,22,Ar,343.8103760000001,8.719999999999999e-05
40,19,21,K,341.52362800000003,0.00224
40,20,20,Ca,342.052184,0.0008
40,21,19,Sc,326.94678799999997,0.11312
40,22,18,Ti,314.634528,2.7297599999999997
41,15,26,P,324.16860330000003,4.926682999999995
41,16,25,S,337.41506780000003,0.16805900000000001
41,17,24,Cl,344.9313313,2.817642999999996
41,18,23,Ar,349.9093052999999,0.014226999999999998
41,19,22,K,351.6189971,0.00015416
41,20,21,Ca,350.4150075,0.005658
41,21,20,Sc,343.1371139,0.003157
41,22,19,Ti,329.40994489999997,1.145745
42,15,27,P,326.1683124,3.9903779999999998
42,16,26,S,344.11555500000003,0.11734800000000001
42,17,25,Cl,350.5272288,2.5038720000000003
42,18,24,Ar,359.33579220000007,0.24255
42,19,23,K,359.1527982,0.004452
42,20,22,Ca,361.8957132,0.006215999999999999
42,21,21,Sc,354.68707259999996,0.006468
42,22,20,Ti,346.88808,0.011297999999999999
43,16,27,S,346.7445868,0.21370999999999998
43,17,26,Cl,357.9262896,2.6599369999999998
43,18,25,Ar,364.9942426,0.22832999999999998
43,19,24,K,368.7774772,0.01763
43,20,23,Ca,369.82860790000007,0.009760999999999999
43,21,22,Sc,366.8255395,0.080109
43,22,21,Ti,359.1706322,0.245917
43,23,20,V,346.9890547,1.842507
44,16,28,S,351.82467760000003,0.229504
44,17,27,Cl,362.31706720000005,3.764904
44,18,26,Ar,373.72900839999994,0.069696
44,19,25,K,376.0549012000001,0.018436
44,20,24,Ca,380.95978360000004,0.0143
44,21,23,Sc,376.52474199999995,0.077264
44,22,22,Ti,375.47494600000005,0.0308
44,23,21,V,360.9520948,0.31966
44,24,20,Cr,349.783566,2.254208
45,17,28,Cl,368.17195949999996,6.127335
45,18,27,Ar,378.897867,0.023039999999999998
45,19,26,K,384.9603615,0.02349
45,20,25,Ca,388.3746015,0.016425
45,21,24,Sc,387.85234500000007,0.029834999999999997
45,22,23,Ti,385.00794449999995,0.0376199999999955
45,23,22,V,377.101773,0.0388349999999955
45,24,21,Cr,363.947787,1.592865
46,17,29,Cl,371.7156822,4.473454
46,18,28,Ar,386.969641,0.107134
46,19,27,K,391.8299688,0.033442
46,20,26,Ca,398.7733008,0.102764
46,21,25,Sc,396.612989,0.030866
46,22,24,Ti,398.19726579999997,0.00414
46,23,23,V,390.36254579999996,0.006164
46,24,22,Cr,381.9758718,0.526838
46,25,21,Mn,364.139703,3.984934
47,18,29,Ar,390.636975,0.056917
47,19,28,K,400.19933649999996,0.065659
47,20,27,Ca,406.0496756,0.104387
47,21,26,Sc,407.25950259999996,0.090757
