A,Z,element,N_neutrons,beta,zeta,c2_over_c1,family,BE_per_A
229,92,U,137,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.6207218
229,93,Np,136,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.605992100000001
229,94,Pu,135,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.5868834
229,95,Am,134,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.5625697
230,90,Th,140,0.19063606135364153,1.316082448558573,0.2723372305052022,A,7.6309974
230,91,Pa,139,0.17025118531221628,1.27913861828286,0.24321597901745184,A,7.6218958
230,92,U,138,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.6209227
230,93,Np,137,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.6017751
230,94,Pu,136,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.591001599999999
230,95,Am,135,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.562
231,90,Th,141,0.19063606135364153,1.316082448558573,0.2723372305052022,A,7.6201188
231,91,Pa,140,0.17025118531221628,1.27913861828286,0.24321597901745184,A,7.6184267
231,92,U,139,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.613387899999999
231,93,Np,138,0.09287473722285293,1.1460964400748523,0.13267819603264705,B,7.602132099999999
231,94,Pu,137,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.5871224
231,95,Am,136,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.566
231,96,Cm,135,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.542
232,90,Th,142,0.20182764731945055,1.336721305416443,0.28832521045635795,A,7.6150338
232,91,Pa,141,0.1801310043668122,1.2969406118776245,0.25733000623830316,A,7.6095072
232,92,U,140,0.16094239811912225,1.2625405500423479,0.22991771159874608,A,7.6118984
232,93,Np,139,0.15215652670665522,1.247028271992333,0.2173664667237932,A,7.597
232,94,Pu,138,0.08913252605375302,1.1399351769848487,0.12733218007679004,B,7.588983900000001
232,95,Am,137,0.08552426664825014,1.1340172640869979,0.12217752378321449,B,7.564
232,96,Cm,136,0.08204289329597189,1.1283285632549327,0.11720413327995985,B,7.548
