snid,z,alpha,mu_obs,mu_qfd,mu_lcdm,residual_qfd,residual_lcdm,residual_alpha,chi2_per_obs
1274152,0.331690,21.4446,21.5589,43.4363,41.2080,-21.8773,-19.6491,20.149768,6.56
1336928,0.696500,19.2505,25.5521,43.4947,43.1336,-17.9426,-17.5815,16.525772,1.65
1297772,0.607573,21.1070,23.2398,43.5862,42.7721,-20.3464,-19.5322,18.739686,1.18
1290821,0.806876,27.2167,17.2223,43.3218,43.5254,-26.0995,-26.3031,24.038487,2.92
1300205,0.631303,21.0238,23.4133,43.5665,42.8732,-20.1532,-19.4599,18.561822,1.42
1770178,0.293938,21.0642,21.7096,43.3304,40.9044,-21.6208,-19.1948,19.913476,1.50
1310304,0.668806,25.5264,18.6501,43.5283,43.0259,-24.8782,-24.3759,22.913666,1.75
1339703,0.492716,22.9001,20.8380,43.6221,42.2230,-22.7841,-21.3850,20.984938,2.04
1699143,0.535184,19.1604,25.0779,43.6214,42.4388,-18.5435,-17.3609,17.079158,1.19
1281039,0.717670,22.5023,22.0866,43.4663,43.2132,-21.3797,-21.1266,19.691426,1.23
1291996,1.116705,25.1718,20.1483,42.5785,44.3967,-22.4303,-24.2485,20.659049,1.71
1317410,0.599881,22.0090,22.2328,43.5917,42.7385,-21.3589,-20.5056,19.672283,2.25
1281352,0.209463,23.1598,18.6986,42.9452,40.0686,-24.2466,-21.3700,22.331959,3.92
1265260,0.603106,20.5508,23.8277,43.5895,42.7526,-19.7618,-18.9249,18.201268,0.72
1255988,0.523726,22.5381,21.3636,43.6231,42.3822,-22.2595,-21.0186,20.501787,2.34
1291286,0.215682,16.2259,26.2905,42.9828,40.1399,-16.6924,-13.8494,15.374229,0.58
1250867,0.229348,21.8473,20.3206,43.0594,40.2901,-22.7389,-19.9695,20.943271,2.53
1290453,0.693322,23.3404,21.1017,43.4988,43.1214,-22.3971,-22.0198,20.628528,0.75
1372123,0.650573,21.7082,22.7356,43.5480,42.9527,-20.8123,-20.2171,19.168867,0.70
1289656,0.539431,22.1914,21.8042,43.6204,42.4594,-21.8163,-20.6553,20.093515,0.97
1291202,0.597213,21.5121,22.7626,43.5936,42.7267,-20.8309,-19.9641,19.186003,2.04
1327275,0.151318,18.0989,23.4873,42.4823,39.2868,-18.9950,-15.7994,17.494997,1.98
1861225,0.398452,25.2742,17.7992,43.5568,41.6745,-25.7576,-23.8753,23.723595,3.21
1294647,0.219375,18.3892,23.9786,43.0043,40.1813,-19.0257,-16.2027,17.523334,1.07
1333481,0.128115,21.1348,19.8296,42.2187,38.8933,-22.3891,-19.0637,20.621122,4.27
1531108,0.343875,21.9195,21.1217,43.4640,41.2993,-22.3423,-20.1776,20.578051,1.11
1259561,0.567512,22.2276,21.8751,43.6105,42.5925,-21.7355,-20.7175,20.019095,0.81
1302127,0.322240,18.1294,25.0956,43.4127,41.1351,-18.3171,-16.0395,16.870668,2.03
